GEO_ID,NAME,ACS_POPULATION_EST,ACS_POPULATION_MOE
1400000US53013960200,"Census Tract 9602, Columbia County, Washington",4001,*****
1400000US53023970300,"Census Tract 9703, Garfield County, Washington",2224,*****
1400000US53069950100,"Census Tract 9501, Wahkiakum County, Washington",4189,*****
1400000US53067011100,"Census Tract 111, Thurston County, Washington",4184,298
1400000US53035091400,"Census Tract 914, Kitsap County, Washington",3859,344
1400000US53033025101,"Census Tract 251.01, King County, Washington",6675,579
1400000US53029971300,"Census Tract 9713, Island County, Washington",4457,367
1400000US53063010503,"Census Tract 105.03, Spokane County, Washington",7965,518
1400000US53029971700,"Census Tract 9717, Island County, Washington",4022,222
1400000US53067012510,"Census Tract 125.10, Thurston County, Washington",2996,442
1400000US53053071305,"Census Tract 713.05, Pierce County, Washington",4023,397
1400000US53061052701,"Census Tract 527.01, Snohomish County, Washington",1687,166
1400000US53053070312,"Census Tract 703.12, Pierce County, Washington",6452,401
1400000US53027990000,"Census Tract 9900, Grays Harbor County, Washington",0,12
1400000US53033032313,"Census Tract 323.13, King County, Washington",6551,365
1400000US53009940000,"Census Tract 9400, Clallam County, Washington",1645,171
1400000US53049950800,"Census Tract 9508, Pacific County, Washington",3089,465
1400000US53035091700,"Census Tract 917, Kitsap County, Washington",8097,581
1400000US53077000400,"Census Tract 4, Yakima County, Washington",7590,525
1400000US53077001800,"Census Tract 18, Yakima County, Washington",6974,975
1400000US53033022203,"Census Tract 222.03, King County, Washington",4918,255
1400000US53057950100,"Census Tract 9501, Skagit County, Washington",857,74
1400000US53011040301,"Census Tract 403.01, Clark County, Washington",2100,263
1400000US53061051804,"Census Tract 518.04, Snohomish County, Washington",6190,429
1400000US53063010402,"Census Tract 104.02, Spokane County, Washington",6561,405
1400000US53073000600,"Census Tract 6, Whatcom County, Washington",2026,236
1400000US53005010300,"Census Tract 103, Benton County, Washington",5917,421
1400000US53011040202,"Census Tract 402.02, Clark County, Washington",3771,299
1400000US53063001300,"Census Tract 13, Spokane County, Washington",3465,339
1400000US53011040610,"Census Tract 406.10, Clark County, Washington",3662,191
1400000US53033032005,"Census Tract 320.05, King County, Washington",6877,542
1400000US53033001500,"Census Tract 15, King County, Washington",2752,155
1400000US53053063200,"Census Tract 632, Pierce County, Washington",5337,399
1400000US53041972000,"Census Tract 9720, Lewis County, Washington",2211,321
1400000US53077001300,"Census Tract 13, Yakima County, Washington",2314,218
1400000US53053061001,"Census Tract 610.01, Pierce County, Washington",4133,400
1400000US53035092100,"Census Tract 921, Kitsap County, Washington",7974,634
1400000US53053072109,"Census Tract 721.09, Pierce County, Washington",3326,256
1400000US53061052118,"Census Tract 521.18, Snohomish County, Washington",7813,432
1400000US53067011610,"Census Tract 116.10, Thurston County, Washington",7589,622
1400000US53011041328,"Census Tract 413.28, Clark County, Washington",6066,318
1400000US53057952100,"Census Tract 9521, Skagit County, Washington",3332,283
1400000US53053060600,"Census Tract 606, Pierce County, Washington",5849,604
1400000US53067011200,"Census Tract 112, Thurston County, Washington",5284,385
1400000US53011040909,"Census Tract 409.09, Clark County, Washington",5226,345
1400000US53033023601,"Census Tract 236.01, King County, Washington",4252,308
1400000US53053072310,"Census Tract 723.10, Pierce County, Washington",3921,259
1400000US53063011500,"Census Tract 115, Spokane County, Washington",1565,153
1400000US53005011401,"Census Tract 114.01, Benton County, Washington",3381,335
1400000US53061050102,"Census Tract 501.02, Snohomish County, Washington",6261,373
1400000US53029970800,"Census Tract 9708, Island County, Washington",2726,240
1400000US53053072905,"Census Tract 729.05, Pierce County, Washington",5755,391
1400000US53061042004,"Census Tract 420.04, Snohomish County, Washington",4348,299
1400000US53053072505,"Census Tract 725.05, Pierce County, Washington",8697,641
1400000US53063003500,"Census Tract 35, Spokane County, Washington",2367,285
1400000US53033011401,"Census Tract 114.01, King County, Washington",4347,295
1400000US53047940200,"Census Tract 9402, Okanogan County, Washington",2883,310
1400000US53059950300,"Census Tract 9503, Skamania County, Washington",1877,200
1400000US53061041704,"Census Tract 417.04, Snohomish County, Washington",5595,734
1400000US53053063502,"Census Tract 635.02, Pierce County, Washington",4754,378
1400000US53033032212,"Census Tract 322.12, King County, Washington",8337,563
1400000US53033022400,"Census Tract 224, King County, Washington",8611,611
1400000US53033028100,"Census Tract 281, King County, Washington",2649,243
1400000US53067012310,"Census Tract 123.10, Thurston County, Washington",10363,531
1400000US53063012901,"Census Tract 129.01, Spokane County, Washington",3234,256
1400000US53063002000,"Census Tract 20, Spokane County, Washington",4087,349
1400000US53007960500,"Census Tract 9605, Chelan County, Washington",8099,928
1400000US53061052803,"Census Tract 528.03, Snohomish County, Washington",5949,370
1400000US53035092400,"Census Tract 924, Kitsap County, Washington",5549,547
1400000US53063011101,"Census Tract 111.01, Spokane County, Washington",5893,503
1400000US53011043000,"Census Tract 430, Clark County, Washington",1879,130
1400000US53033009701,"Census Tract 97.01, King County, Washington",6233,315
1400000US53029971800,"Census Tract 9718, Island County, Washington",2281,194
1400000US53033029205,"Census Tract 292.05, King County, Washington",4659,360
1400000US53037975401,"Census Tract 9754.01, Kittitas County, Washington",8285,522
1400000US53015001800,"Census Tract 18, Cowlitz County, Washington",1701,284
1400000US53033022606,"Census Tract 226.06, King County, Washington",6087,450
1400000US53025011300,"Census Tract 113, Grant County, Washington",3691,176
1400000US53033020800,"Census Tract 208, King County, Washington",4273,188
1400000US53053070313,"Census Tract 703.13, Pierce County, Washington",6410,454
1400000US53029970601,"Census Tract 9706.01, Island County, Washington",3223,252
1400000US53057951400,"Census Tract 9514, Skagit County, Washington",4561,459
1400000US53011040712,"Census Tract 407.12, Clark County, Washington",6442,417
1400000US53033032208,"Census Tract 322.08, King County, Washington",9764,588
1400000US53047971000,"Census Tract 9710, Okanogan County, Washington",4307,460
1400000US53061040800,"Census Tract 408, Snohomish County, Washington",2731,279
1400000US53071920400,"Census Tract 9204, Walla Walla County, Washington",2744,231
1400000US53061051500,"Census Tract 515, Snohomish County, Washington",5918,470
1400000US53033026600,"Census Tract 266, King County, Washington",2538,215
1400000US53035091302,"Census Tract 913.02, Kitsap County, Washington",5575,461
1400000US53073010404,"Census Tract 104.04, Whatcom County, Washington",6647,471
1400000US53073010501,"Census Tract 105.01, Whatcom County, Washington",7955,560
1400000US53049950200,"Census Tract 9502, Pacific County, Washington",4707,407
1400000US53033028801,"Census Tract 288.01, King County, Washington",3260,347
1400000US53033032213,"Census Tract 322.13, King County, Washington",4337,197
1400000US53053073126,"Census Tract 731.26, Pierce County, Washington",4443,431
1400000US53005010814,"Census Tract 108.14, Benton County, Washington",4188,338
1400000US53073010200,"Census Tract 102, Whatcom County, Washington",9248,633
1400000US53063010100,"Census Tract 101, Spokane County, Washington",5890,694
1400000US53033024701,"Census Tract 247.01, King County, Washington",4068,455
1400000US53033021903,"Census Tract 219.03, King County, Washington",6404,528
1400000US53033023404,"Census Tract 234.04, King County, Washington",3438,233
1400000US53063012401,"Census Tract 124.01, Spokane County, Washington",4367,291
1400000US53063013300,"Census Tract 133, Spokane County, Washington",3144,254
1400000US53063013000,"Census Tract 130, Spokane County, Washington",9946,509
1400000US53053071902,"Census Tract 719.02, Pierce County, Washington",5274,471
1400000US53061053802,"Census Tract 538.02, Snohomish County, Washington",5825,318
