reportDate,zip,confirmed_cases,total_tested
3/17/21 0:00,60000,40,423
3/17/21 0:00,60001,6,161
3/17/21 0:00,60002,1747,16746
3/17/21 0:00,60004,3552,59102
3/17/21 0:00,60005,2248,36727
3/17/21 0:00,60006,13,247
3/17/21 0:00,60007,2774,32305
3/17/21 0:00,60008,2333,28268
3/17/21 0:00,60009,19,232
3/17/21 0:00,60010,2864,43373
3/17/21 0:00,60011,8,214
3/17/21 0:00,60012,897,14291
3/17/21 0:00,60013,1815,21218
3/17/21 0:00,60014,3760,40560
3/17/21 0:00,60015,1776,47535
3/17/21 0:00,60016,5661,71324
3/17/21 0:00,60017,13,176
3/17/21 0:00,60018,3346,43364
3/17/21 0:00,60019,10,107
3/17/21 0:00,60020,818,10217
3/17/21 0:00,60021,333,4434
3/17/21 0:00,60022,412,10114
3/17/21 0:00,60025,2957,50266
3/17/21 0:00,60026,922,21763
3/17/21 0:00,60029,44,593
3/17/21 0:00,60030,2484,33001
3/17/21 0:00,60031,2913,41090
3/17/21 0:00,60033,1416,11750
3/17/21 0:00,60034,148,1847
3/17/21 0:00,60035,1712,47580
3/17/21 0:00,60036,9,84
3/17/21 0:00,60038,7,156
3/17/21 0:00,60040,651,11843
3/17/21 0:00,60041,718,7790
3/17/21 0:00,60042,634,6842
3/17/21 0:00,60043,155,2956
3/17/21 0:00,60044,670,18444
3/17/21 0:00,60045,1209,35548
3/17/21 0:00,60046,2707,30842
3/17/21 0:00,60047,3094,52622
3/17/21 0:00,60048,1814,36400
3/17/21 0:00,60050,2732,32112
3/17/21 0:00,60051,1993,18868
3/17/21 0:00,60053,2011,36651
3/17/21 0:00,60055,9,89
3/17/21 0:00,60056,4431,51216
3/17/21 0:00,60057,7,127
3/17/21 0:00,60060,3292,34680
3/17/21 0:00,60061,1652,30531
3/17/21 0:00,60062,2824,79702
3/17/21 0:00,60063,9,95
3/17/21 0:00,60064,2743,16898
3/17/21 0:00,60065,7,173
3/17/21 0:00,60067,3043,52279
3/17/21 0:00,60068,3021,50146
3/17/21 0:00,60069,594,19717
3/17/21 0:00,60070,1362,19121
3/17/21 0:00,60071,277,3013
3/17/21 0:00,60072,52,754
3/17/21 0:00,60073,6550,59318
3/17/21 0:00,60074,3321,34984
3/17/21 0:00,60075,17,165
3/17/21 0:00,60076,2942,43583
3/17/21 0:00,60077,2363,44246
3/17/21 0:00,60078,12,168
3/17/21 0:00,60079,39,2308
3/17/21 0:00,60081,760,6990
3/17/21 0:00,60082,16,160
3/17/21 0:00,60083,796,9689
3/17/21 0:00,60084,1344,17945
3/17/21 0:00,60085,9103,91832
3/17/21 0:00,60086,7,106
3/17/21 0:00,60087,3334,27994
3/17/21 0:00,60088,760,7557
3/17/21 0:00,60089,2562,41176
3/17/21 0:00,60090,3903,52953
3/17/21 0:00,60091,1456,30155
3/17/21 0:00,60093,1438,24346
3/17/21 0:00,60094,6,74
3/17/21 0:00,60095,9,63
3/17/21 0:00,60096,538,4702
3/17/21 0:00,60097,794,8551
3/17/21 0:00,60098,2941,39618
3/17/21 0:00,60099,3269,38493
3/17/21 0:00,60101,4626,35622
3/17/21 0:00,60102,2517,27691
3/17/21 0:00,60103,3875,45632
3/17/21 0:00,60104,2139,20085
3/17/21 0:00,60105,10,167
3/17/21 0:00,60106,2210,24436
3/17/21 0:00,60107,4225,42441
3/17/21 0:00,60108,2390,36741
3/17/21 0:00,60109,60,841
3/17/21 0:00,60110,4297,31434
3/17/21 0:00,60111,19,226
3/17/21 0:00,60112,395,4238
3/17/21 0:00,60113,33,446
3/17/21 0:00,60115,3577,61380
3/17/21 0:00,60116,8,121
3/17/21 0:00,60118,1258,13930
3/17/21 0:00,60119,838,9432
3/17/21 0:00,60120,5983,47304
3/17/21 0:00,60121,32,431
3/17/21 0:00,60123,5116,55259
3/17/21 0:00,60124,2078,21801
3/17/21 0:00,60125,6,154
3/17/21 0:00,60126,4095,64961
3/17/21 0:00,60129,23,180
3/17/21 0:00,60130,1101,25370
3/17/21 0:00,60131,2335,24922
3/17/21 0:00,60133,4393,38075
3/17/21 0:00,60134,2293,32222
3/17/21 0:00,60135,689,6254
3/17/21 0:00,60136,769,7525
3/17/21 0:00,60137,2969,41292
3/17/21 0:00,60138,10,157
3/17/21 0:00,60139,3681,31275
3/17/21 0:00,60140,1725,18186
3/17/21 0:00,60141,68,2958
3/17/21 0:00,60142,2161,28626
3/17/21 0:00,60143,1083,13239
3/17/21 0:00,60144,11,152
3/17/21 0:00,60145,185,1690
3/17/21 0:00,60146,237,2260
3/17/21 0:00,60147,13,183
3/17/21 0:00,60148,4007,61642
