GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031010100,16.0,984.0,3323.0,586.0,0.0,71.0,2044.0,4.0,689.0,345.0,0.0,54.0,26.0,0.0,46.0,4.0,8.0,32.0,265.0,2177.0,0.0,0.0,0.0,5.0,118.0,1.0,1041.0,46.0,0.0,82.0,0.0,487.0,44.0,5.0,1945.0,174.0,14622
17031010201,20.0,824.0,2442.0,607.0,0.0,53.0,1571.0,0.0,364.0,331.0,0.0,22.0,10.0,0.0,35.0,4.0,17.0,37.0,380.0,1346.0,0.0,1.0,0.0,2.0,104.0,0.0,926.0,10.0,0.0,64.0,0.0,431.0,63.0,3.0,1862.0,136.0,11665
17031010202,1.0,767.0,2061.0,383.0,0.0,33.0,1056.0,3.0,682.0,519.0,0.0,2.0,12.0,0.0,36.0,8.0,10.0,36.0,272.0,1249.0,0.0,0.0,0.0,2.0,52.0,0.0,493.0,127.0,1.0,68.0,0.0,506.0,62.0,6.0,4880.0,85.0,13412
17031010300,13.0,586.0,1999.0,688.0,0.0,65.0,1352.0,5.0,334.0,435.0,0.0,26.0,11.0,0.0,22.0,7.0,6.0,14.0,358.0,947.0,0.0,0.0,0.0,0.0,67.0,0.0,812.0,40.0,1.0,43.0,0.0,603.0,71.0,8.0,2350.0,56.0,10919
17031010400,3.0,424.0,1205.0,365.0,1.0,40.0,762.0,5.0,328.0,475.0,0.0,2.0,7.0,0.0,22.0,5.0,5.0,19.0,185.0,400.0,0.0,0.0,0.0,0.0,25.0,0.0,508.0,6.0,0.0,37.0,0.0,234.0,45.0,6.0,1943.0,39.0,7096
17031010501,9.0,360.0,1204.0,411.0,0.0,34.0,723.0,2.0,270.0,497.0,0.0,6.0,2.0,0.0,14.0,1.0,1.0,22.0,199.0,629.0,0.0,0.0,0.0,1.0,50.0,0.0,522.0,9.0,0.0,25.0,0.0,348.0,31.0,2.0,1361.0,43.0,6776
17031010502,10.0,193.0,723.0,369.0,0.0,30.0,585.0,0.0,142.0,202.0,0.0,1.0,3.0,0.0,9.0,2.0,4.0,8.0,169.0,198.0,0.0,0.0,0.0,0.0,22.0,1.0,368.0,5.0,0.0,18.0,0.0,243.0,32.0,2.0,1048.0,16.0,4403
17031010503,1.0,130.0,422.0,280.0,0.0,23.0,411.0,1.0,109.0,173.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,12.0,101.0,131.0,0.0,0.0,0.0,2.0,12.0,0.0,181.0,7.0,0.0,13.0,0.0,189.0,19.0,2.0,873.0,13.0,3117
17031010600,6.0,751.0,2093.0,693.0,0.0,32.0,1492.0,9.0,409.0,399.0,0.0,28.0,7.0,0.0,27.0,6.0,7.0,66.0,353.0,1282.0,0.0,0.0,0.0,1.0,63.0,1.0,759.0,46.0,0.0,86.0,0.0,625.0,56.0,5.0,2418.0,112.0,11832
17031010701,4.0,150.0,529.0,356.0,0.0,13.0,713.0,1.0,128.0,147.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,5.0,284.0,192.0,0.0,0.0,0.0,1.0,30.0,0.0,380.0,34.0,0.0,7.0,0.0,168.0,20.0,4.0,1008.0,23.0,4211
17031010702,14.0,647.0,2028.0,480.0,0.0,36.0,1082.0,2.0,314.0,459.0,0.0,8.0,11.0,0.0,24.0,4.0,11.0,39.0,317.0,785.0,0.0,1.0,0.0,2.0,61.0,0.0,726.0,591.0,0.0,77.0,0.0,499.0,51.0,6.0,1670.0,108.0,10053
