GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031010100,2.0,256.0,929.0,157.0,15.0,448.0,0.0,195.0,60.0,24.0,5.0,14.0,0.0,0.0,10.0,68.0,693.0,0.0,0.0,1.0,34.0,0.0,285.0,7.0,0.0,30.0,161.0,10.0,1.0,510.0,60.0,3975
17031010201,3.0,212.0,603.0,143.0,8.0,357.0,0.0,82.0,65.0,6.0,3.0,15.0,0.0,6.0,5.0,101.0,368.0,0.0,0.0,1.0,17.0,0.0,254.0,0.0,0.0,26.0,126.0,14.0,0.0,463.0,37.0,2915
17031010202,0.0,195.0,587.0,90.0,6.0,280.0,0.0,183.0,132.0,1.0,3.0,11.0,2.0,0.0,6.0,56.0,461.0,0.0,0.0,2.0,12.0,0.0,155.0,26.0,1.0,32.0,151.0,18.0,2.0,1218.0,28.0,3658
17031010300,2.0,155.0,486.0,157.0,11.0,303.0,0.0,83.0,95.0,16.0,1.0,8.0,2.0,2.0,5.0,113.0,296.0,0.0,0.0,0.0,16.0,0.0,219.0,4.0,0.0,19.0,139.0,16.0,1.0,537.0,10.0,2696
17031010400,1.0,109.0,287.0,94.0,10.0,174.0,0.0,85.0,130.0,0.0,2.0,5.0,2.0,2.0,11.0,35.0,132.0,0.0,0.0,0.0,9.0,0.0,116.0,1.0,0.0,18.0,71.0,11.0,1.0,498.0,10.0,1814
17031010501,2.0,97.0,258.0,90.0,10.0,157.0,0.0,73.0,116.0,1.0,0.0,6.0,0.0,0.0,4.0,52.0,171.0,0.0,0.0,0.0,8.0,0.0,142.0,1.0,0.0,12.0,99.0,5.0,0.0,283.0,11.0,1598
17031010502,0.0,41.0,157.0,84.0,6.0,159.0,0.0,43.0,53.0,0.0,1.0,3.0,0.0,1.0,3.0,42.0,43.0,0.0,0.0,0.0,2.0,0.0,82.0,2.0,0.0,3.0,65.0,7.0,0.0,198.0,3.0,998
17031010503,0.0,38.0,122.0,89.0,6.0,103.0,0.0,24.0,36.0,0.0,0.0,2.0,0.0,0.0,6.0,21.0,45.0,0.0,0.0,1.0,4.0,0.0,51.0,0.0,0.0,5.0,46.0,3.0,0.0,248.0,4.0,854
17031010600,3.0,199.0,474.0,189.0,5.0,344.0,0.0,98.0,76.0,2.0,1.0,8.0,1.0,1.0,8.0,88.0,281.0,0.0,0.0,1.0,8.0,0.0,188.0,6.0,0.0,29.0,166.0,15.0,3.0,564.0,23.0,2781
17031010701,1.0,32.0,123.0,77.0,5.0,172.0,0.0,38.0,33.0,0.0,0.0,1.0,1.0,4.0,2.0,84.0,68.0,0.0,0.0,0.0,6.0,0.0,96.0,10.0,0.0,3.0,55.0,4.0,2.0,250.0,8.0,1075
