GEOID,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
06075010100,8.0,699.0,1.0,0.0,256.0,41.0,7.0,71.0,38.0,17.0,5.0,4.0,100.0,203.0,6.0,13.0,3603.0,8.0,2.0,135.0,1243.0,697.0,0.0,10.0,26.0,122.0,9.0,79.0,30.0,44.0,1.0,280.0,2.0,71.0,529.0,214.0,228.0,42.0,8844
06075010200,7.0,229.0,1.0,2.0,238.0,10.0,7.0,44.0,16.0,3.0,0.0,1.0,32.0,52.0,1.0,12.0,1504.0,3.0,0.0,44.0,371.0,320.0,0.0,0.0,12.0,63.0,4.0,27.0,16.0,29.0,2.0,100.0,0.0,23.0,270.0,187.0,62.0,23.0,3715
06075010300,4.0,99.0,0.0,0.0,83.0,6.0,1.0,11.0,5.0,2.0,0.0,1.0,20.0,20.0,0.0,4.0,413.0,0.0,0.0,27.0,182.0,131.0,0.0,1.0,13.0,27.0,0.0,18.0,10.0,9.0,2.0,58.0,0.0,9.0,97.0,109.0,14.0,5.0,1381
06075010400,3.0,113.0,0.0,2.0,154.0,7.0,4.0,16.0,11.0,3.0,2.0,1.0,17.0,24.0,0.0,7.0,378.0,4.0,1.0,17.0,164.0,168.0,1.0,1.0,8.0,45.0,1.0,22.0,11.0,10.0,2.0,81.0,0.0,24.0,168.0,116.0,36.0,3.0,1625
06075010500,7.0,323.0,2.0,1.0,229.0,12.0,24.0,43.0,19.0,20.0,0.0,1.0,55.0,122.0,0.0,12.0,2347.0,1.0,9.0,51.0,628.0,712.0,0.0,0.0,14.0,84.0,2.0,24.0,18.0,37.0,4.0,156.0,0.0,78.0,275.0,133.0,132.0,17.0,5592
06075010600,4.0,682.0,2.0,1.0,106.0,66.0,31.0,139.0,139.0,4.0,1.0,0.0,26.0,72.0,0.0,11.0,668.0,31.0,5.0,46.0,571.0,871.0,0.0,5.0,18.0,108.0,1.0,65.0,18.0,25.0,6.0,222.0,0.0,28.0,198.0,96.0,224.0,76.0,4566
06075010700,6.0,403.0,4.0,1.0,85.0,25.0,42.0,62.0,45.0,26.0,3.0,1.0,38.0,169.0,2.0,11.0,631.0,14.0,2.0,122.0,869.0,912.0,0.0,3.0,18.0,92.0,3.0,51.0,18.0,6.0,1.0,179.0,0.0,16.0,212.0,76.0,125.0,39.0,4312
06075010800,2.0,76.0,1.0,0.0,102.0,4.0,1.0,24.0,1.0,2.0,1.0,0.0,10.0,26.0,0.0,2.0,224.0,0.0,1.0,18.0,122.0,120.0,0.0,0.0,8.0,31.0,1.0,16.0,3.0,7.0,2.0,48.0,0.0,7.0,99.0,143.0,19.0,3.0,1124
06075010900,8.0,155.0,2.0,1.0,205.0,6.0,5.0,50.0,7.0,2.0,0.0,0.0,26.0,51.0,0.0,2.0,548.0,1.0,0.0,29.0,265.0,245.0,0.0,18.0,6.0,41.0,1.0,30.0,6.0,13.0,4.0,69.0,0.0,9.0,132.0,138.0,44.0,8.0,2127
06075011000,2.0,153.0,2.0,0.0,142.0,9.0,4.0,42.0,7.0,2.0,0.0,0.0,37.0,43.0,0.0,6.0,465.0,3.0,0.0,25.0,225.0,203.0,0.0,21.0,8.0,55.0,1.0,19.0,9.0,7.0,1.0,101.0,0.0,10.0,125.0,110.0,71.0,5.0,1913
06075011100,4.0,491.0,2.0,1.0,256.0,36.0,19.0,200.0,22.0,8.0,2.0,1.0,85.0,106.0,0.0,24.0,1019.0,6.0,13.0,120.0,547.0,577.0,0.0,666.0,13.0,133.0,1.0,62.0,41.0,44.0,4.0,187.0,0.0,49.0,276.0,181.0,317.0,24.0,5537
06075011200,2.0,107.0,1.0,0.0,134.0,3.0,4.0,15.0,2.0,3.0,1.0,0.0,8.0,29.0,0.0,3.0,349.0,0.0,0.0,21.0,166.0,116.0,0.0,2.0,5.0,34.0,0.0,15.0,6.0,4.0,5.0,67.0,0.0,15.0,98.0,125.0,15.0,6.0,1361
06075011300,6.0,141.0,1.0,1.0,52.0,7.0,1.0,9.0,1.0,4.0,1.0,0.0,17.0,41.0,1.0,2.0,378.0,0.0,0.0,51.0,212.0,146.0,0.0,0.0,2.0,44.0,1.0,16.0,4.0,2.0,1.0,69.0,0.0,6.0,104.0,38.0,20.0,7.0,1386
06075011700,19.0,1149.0,25.0,0.0,1087.0,116.0,31.0,299.0,67.0,100.0,12.0,2.0,341.0,664.0,1.0,20.0,7545.0,17.0,11.0,148.0,1934.0,2168.0,0.0,14.0,45.0,517.0,2.0,83.0,53.0,138.0,5.0,587.0,0.0,255.0,630.0,308.0,720.0,75.0,19188
06075011800,1.0,82.0,1.0,0.0,44.0,3.0,2.0,10.0,3.0,1.0,9.0,0.0,20.0,21.0,2.0,4.0,184.0,0.0,0.0,14.0,108.0,115.0,0.0,0.0,4.0,28.0,0.0,7.0,4.0,1.0,1.0,48.0,0.0,6.0,59.0,19.0,12.0,6.0,819
06075011901,0.0,88.0,1.0,0.0,41.0,3.0,1.0,11.0,1.0,2.0,1.0,0.0,8.0,30.0,0.0,6.0,158.0,0.0,0.0,12.0,106.0,79.0,0.0,1.0,6.0,20.0,0.0,19.0,4.0,4.0,0.0,33.0,0.0,9.0,67.0,62.0,15.0,0.0,788
06075011902,2.0,84.0,1.0,0.0,71.0,3.0,3.0,27.0,3.0,2.0,2.0,1.0,15.0,22.0,0.0,3.0,230.0,1.0,1.0,21.0,135.0,123.0,0.0,1.0,10.0,23.0,1.0,18.0,5.0,11.0,2.0,41.0,0.0,16.0,59.0,69.0,22.0,4.0,1032
06075012000,13.0,438.0,2.0,0.0,190.0,31.0,18.0,438.0,20.0,5.0,0.0,0.0,39.0,95.0,0.0,5.0,1079.0,12.0,7.0,80.0,586.0,608.0,0.0,545.0,18.0,117.0,2.0,50.0,25.0,38.0,3.0,162.0,0.0,28.0,233.0,119.0,363.0,46.0,5415
06075012100,2.0,323.0,2.0,2.0,203.0,16.0,6.0,94.0,15.0,5.0,3.0,0.0,55.0,97.0,0.0,11.0,845.0,5.0,1.0,47.0,471.0,350.0,0.0,5.0,13.0,95.0,1.0,51.0,28.0,26.0,4.0,172.0,0.0,34.0,174.0,84.0,108.0,14.0,3362
06075012201,8.0,704.0,2.0,1.0,152.0,44.0,6.0,1335.0,26.0,1.0,3.0,1.0,35.0,82.0,0.0,20.0,609.0,17.0,11.0,63.0,530.0,1227.0,1.0,582.0,21.0,245.0,1.0,106.0,42.0,30.0,0.0,263.0,0.0,67.0,241.0,64.0,423.0,83.0,7046
06075012202,6.0,763.0,3.0,1.0,115.0,36.0,21.0,989.0,31.0,8.0,1.0,1.0,62.0,91.0,0.0,23.0,883.0,8.0,10.0,68.0,603.0,1036.0,1.0,366.0,26.0,235.0,0.0,76.0,39.0,49.0,4.0,219.0,0.0,41.0,231.0,98.0,529.0,74.0,6747
06075012301,5.0,1043.0,2.0,4.0,206.0,140.0,14.0,2349.0,91.0,14.0,1.0,2.0,71.0,158.0,0.0,30.0,1367.0,20.0,26.0,130.0,1112.0,1868.0,0.0,12.0,32.0,243.0,1.0,101.0,61.0,31.0,1.0,290.0,0.0,243.0,155.0,138.0,826.0,93.0,10880
06075012302,6.0,647.0,1.0,4.0,202.0,122.0,9.0,361.0,39.0,10.0,1.0,6.0,45.0,148.0,1.0,20.0,1328.0,5.0,33.0,71.0,847.0,667.0,0.0,7.0,14.0,127.0,0.0,46.0,35.0,29.0,7.0,228.0,0.0,190.0,182.0,77.0,285.0,42.0,5842
06075012401,6.0,1413.0,3.0,1.0,182.0,214.0,19.0,4063.0,67.0,6.0,4.0,9.0,63.0,123.0,0.0,36.0,659.0,28.0,25.0,217.0,1083.0,2771.0,1.0,13.0,27.0,401.0,1.0,212.0,50.0,42.0,12.0,499.0,0.0,199.0,208.0,54.0,1279.0,158.0,14148
