GEOID,BAD CHECKS,BRIBERY,DRIVING UNDER THE INFLUENCE,DRUNKENNESS,EXTORTION,KIDNAPPING,LOITERING,PORNOGRAPHY/OBSCENE MAT,RUNAWAY,SECONDARY CODES,TREA,TRESPASS,CIVIL SIDEWALKS,DRUG OFFENSE,FIRE REPORT,HOMICIDE,HUMAN TRAFFICKING,LOST PROPERTY,MALICIOUS MISCHIEF,MOTOR VEHICLE THEFT,NAN,OFFENCES AGAINST THE FAMILY AND CHILDREN,TRAFFIC COLLISION,TRAFFIC VIOLATION ARREST,VEHICLE IMPOUNDED,VEHICLE MISPLACED,WEAPONS OFFENSE,ARSON,ASSAULT,BURGLARY,DISORDERLY CONDUCT,DRUG/NARCOTIC,EMBEZZLEMENT,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,LARCENY/THEFT,LIQUOR LAWS,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
06075010100,0.0,8.0,6.0,28.0,1.0,9.0,2.0,1.0,4.0,83.0,0.0,92.0,5.0,0.0,3.0,0.0,0.0,130.0,249.0,0.0,8.0,26.0,2.0,28.0,0.0,0.0,0.0,11.0,755.0,396.0,65.0,99.0,22.0,4.0,54.0,382.0,8.0,8316.0,11.0,195.0,1537.0,1106.0,2.0,41.0,274.0,28.0,199.0,4.0,300.0,798.0,277.0,358.0,89.0,16016
06075010200,3.0,1.0,7.0,11.0,0.0,9.0,0.0,0.0,3.0,36.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,35.0,98.0,0.0,0.0,9.0,2.0,11.0,0.0,0.0,0.0,7.0,227.0,271.0,27.0,45.0,3.0,2.0,13.0,92.0,0.0,4655.0,3.0,67.0,612.0,501.0,1.0,24.0,93.0,17.0,76.0,2.0,122.0,319.0,172.0,97.0,22.0,7722
06075010300,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,14.0,30.0,0.0,2.0,6.0,1.0,5.0,0.0,0.0,0.0,3.0,90.0,132.0,6.0,14.0,3.0,0.0,6.0,44.0,0.0,1005.0,1.0,39.0,237.0,239.0,0.0,11.0,43.0,11.0,26.0,3.0,67.0,151.0,114.0,43.0,12.0,2390
06075010400,0.0,0.0,2.0,9.0,0.0,2.0,2.0,0.0,0.0,20.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,10.0,30.0,1.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,2.0,119.0,164.0,9.0,20.0,0.0,0.0,4.0,44.0,0.0,738.0,3.0,20.0,303.0,270.0,2.0,13.0,45.0,8.0,14.0,1.0,94.0,179.0,116.0,80.0,9.0,2372
06075010500,1.0,0.0,18.0,20.0,2.0,5.0,3.0,0.0,0.0,33.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,54.0,148.0,0.0,12.0,15.0,4.0,20.0,1.0,0.0,1.0,11.0,367.0,368.0,57.0,75.0,8.0,5.0,16.0,206.0,1.0,4332.0,2.0,80.0,837.0,855.0,5.0,37.0,134.0,23.0,104.0,7.0,200.0,449.0,206.0,240.0,45.0,9100
06075010600,0.0,1.0,9.0,68.0,1.0,7.0,0.0,0.0,1.0,42.0,0.0,25.0,0.0,0.0,3.0,0.0,0.0,45.0,58.0,0.0,3.0,18.0,0.0,12.0,0.0,1.0,0.0,4.0,466.0,131.0,42.0,88.0,4.0,4.0,21.0,115.0,0.0,790.0,8.0,59.0,558.0,472.0,3.0,12.0,77.0,24.0,29.0,0.0,187.0,149.0,113.0,160.0,68.0,3878
06075010700,0.0,1.0,15.0,19.0,3.0,11.0,1.0,0.0,3.0,69.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,103.0,54.0,0.0,88.0,14.0,5.0,19.0,0.0,1.0,0.0,9.0,446.0,101.0,33.0,42.0,3.0,1.0,34.0,227.0,0.0,1078.0,4.0,168.0,1285.0,590.0,0.0,15.0,115.0,24.0,19.0,2.0,195.0,231.0,104.0,147.0,42.0,5355
06075010800,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,5.0,59.0,89.0,6.0,19.0,2.0,0.0,5.0,26.0,0.0,306.0,0.0,27.0,141.0,164.0,0.0,19.0,26.0,6.0,9.0,0.0,45.0,87.0,131.0,29.0,15.0,1269
06075010900,1.0,1.0,6.0,5.0,1.0,5.0,0.0,0.0,1.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,3.0,141.0,156.0,7.0,31.0,3.0,0.0,9.0,63.0,0.0,789.0,1.0,19.0,278.0,325.0,0.0,14.0,43.0,16.0,20.0,2.0,54.0,103.0,138.0,52.0,13.0,2369
06075011000,0.0,1.0,5.0,8.0,2.0,3.0,0.0,0.0,0.0,15.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,13.0,31.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,5.0,143.0,211.0,10.0,42.0,0.0,1.0,7.0,53.0,0.0,717.0,2.0,20.0,251.0,273.0,1.0,19.0,60.0,17.0,16.0,1.0,79.0,131.0,157.0,77.0,23.0,2431
06075011100,0.0,0.0,4.0,11.0,0.0,6.0,0.0,0.0,2.0,29.0,0.0,80.0,0.0,0.0,2.0,0.0,0.0,46.0,84.0,0.0,6.0,28.0,2.0,15.0,0.0,0.0,0.0,16.0,492.0,272.0,46.0,106.0,4.0,0.0,53.0,136.0,0.0,1890.0,1.0,198.0,704.0,509.0,166.0,33.0,138.0,33.0,44.0,4.0,203.0,302.0,229.0,210.0,43.0,6147
