GEOID,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
53033000100,9.0,696.0,53.0,0.0,354.0,39.0,1.0,343.0,54.0,110.0,11.0,0.0,0.0,164.0,0.0,0.0,0.0,1209.0,23.0,139.0,0.0,0.0,7.0,79.0,0.0,0.0,15.0,51.0,33.0,3390
53033000200,11.0,253.0,25.0,0.0,272.0,5.0,0.0,213.0,42.0,40.0,1.0,0.0,0.0,137.0,0.0,0.0,0.0,593.0,5.0,105.0,0.0,1.0,2.0,26.0,0.0,0.0,7.0,12.0,11.0,1761
53033000300,1.0,145.0,19.0,0.0,154.0,5.0,0.0,107.0,13.0,30.0,3.0,1.0,0.0,64.0,0.0,0.0,0.0,368.0,1.0,90.0,0.0,0.0,69.0,10.0,0.0,0.0,2.0,8.0,8.0,1098
53033000401,3.0,396.0,9.0,0.0,352.0,8.0,0.0,241.0,20.0,28.0,2.0,0.0,0.0,94.0,0.0,0.0,0.0,646.0,4.0,190.0,0.0,0.0,8.0,28.0,0.0,0.0,6.0,19.0,11.0,2065
53033000402,4.0,161.0,22.0,0.0,236.0,5.0,0.0,164.0,19.0,15.0,1.0,2.0,0.0,88.0,0.0,0.0,0.0,425.0,1.0,98.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,14.0,12.0,1298
53033000500,0.0,24.0,12.0,0.0,151.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,265.0,2.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,6.0,2.0,584
53033000600,9.0,698.0,43.0,0.0,494.0,34.0,1.0,398.0,91.0,176.0,23.0,3.0,0.0,207.0,0.0,0.0,0.0,1822.0,13.0,190.0,0.0,0.0,401.0,129.0,0.0,0.0,25.0,87.0,48.0,4892
53033000700,1.0,290.0,25.0,0.0,238.0,21.0,0.0,233.0,38.0,52.0,8.0,1.0,0.0,100.0,0.0,0.0,0.0,672.0,11.0,103.0,0.0,0.0,0.0,28.0,0.0,0.0,7.0,26.0,18.0,1872
53033000800,4.0,87.0,8.0,0.0,136.0,5.0,0.0,89.0,11.0,7.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,338.0,1.0,21.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,1.0,4.0,769
53033000900,0.0,32.0,10.0,0.0,74.0,0.0,0.0,32.0,5.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,151.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,366
53033001000,1.0,116.0,9.0,0.0,111.0,4.0,0.0,83.0,13.0,17.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,250.0,4.0,16.0,0.0,0.0,4.0,10.0,0.0,0.0,2.0,11.0,3.0,696
53033001100,1.0,62.0,8.0,0.0,162.0,4.0,0.0,60.0,21.0,7.0,4.0,2.0,0.0,47.0,0.0,0.0,0.0,190.0,6.0,33.0,0.0,0.0,14.0,6.0,0.0,0.0,2.0,7.0,3.0,639
53033001200,5.0,589.0,78.0,0.0,364.0,66.0,0.0,377.0,44.0,94.0,64.0,0.0,0.0,323.0,0.0,0.0,0.0,3145.0,12.0,343.0,0.0,1.0,28.0,187.0,0.0,0.0,22.0,66.0,22.0,5830
53033001300,11.0,409.0,43.0,0.0,208.0,22.0,0.0,251.0,56.0,87.0,11.0,3.0,0.0,144.0,0.0,0.0,0.0,598.0,14.0,152.0,0.0,0.0,153.0,51.0,0.0,0.0,20.0,29.0,26.0,2288
53033001400,3.0,219.0,108.0,0.0,253.0,62.0,0.0,231.0,65.0,21.0,4.0,0.0,0.0,79.0,0.0,0.0,0.0,616.0,7.0,120.0,0.0,0.0,1.0,27.0,0.0,0.0,9.0,20.0,9.0,1854
53033001500,0.0,39.0,9.0,0.0,72.0,0.0,0.0,33.0,3.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,147.0,1.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,371
53033001600,3.0,177.0,17.0,0.0,189.0,4.0,1.0,196.0,39.0,26.0,5.0,0.0,0.0,72.0,0.0,0.0,0.0,411.0,10.0,64.0,0.0,0.0,2.0,38.0,0.0,0.0,5.0,11.0,6.0,1276
53033001701,12.0,327.0,28.0,0.0,256.0,10.0,0.0,253.0,42.0,53.0,7.0,1.0,0.0,117.0,0.0,0.0,0.0,915.0,16.0,151.0,0.0,0.0,3.0,71.0,0.0,0.0,9.0,33.0,15.0,2319
53033001702,5.0,211.0,13.0,0.0,128.0,3.0,0.0,153.0,28.0,44.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,374.0,7.0,87.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,24.0,14.0,1156
53033001800,4.0,340.0,14.0,0.0,195.0,9.0,0.0,202.0,53.0,71.0,7.0,0.0,0.0,72.0,0.0,0.0,0.0,418.0,11.0,152.0,0.0,1.0,75.0,54.0,0.0,0.0,10.0,40.0,26.0,1754
53033001900,3.0,155.0,18.0,0.0,156.0,6.0,0.0,121.0,10.0,13.0,3.0,0.0,0.0,88.0,0.0,0.0,0.0,367.0,2.0,99.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,4.0,2.0,1058
53033002000,0.0,82.0,8.0,0.0,177.0,2.0,1.0,72.0,12.0,10.0,1.0,0.0,0.0,68.0,0.0,0.0,0.0,317.0,0.0,71.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,2.0,840
53033002100,0.0,127.0,14.0,0.0,174.0,3.0,0.0,92.0,17.0,7.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,265.0,0.0,39.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,4.0,5.0,813
53033002200,0.0,60.0,11.0,0.0,171.0,2.0,0.0,85.0,12.0,5.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,273.0,1.0,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,1.0,750
53033002400,2.0,56.0,7.0,0.0,102.0,1.0,0.0,62.0,4.0,9.0,1.0,1.0,0.0,48.0,0.0,0.0,0.0,141.0,3.0,24.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,2.0,478
53033002500,2.0,50.0,6.0,0.0,140.0,1.0,0.0,86.0,6.0,9.0,1.0,1.0,0.0,42.0,0.0,0.0,0.0,248.0,1.0,56.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,659
53033002600,3.0,183.0,20.0,0.0,286.0,8.0,0.0,187.0,29.0,51.0,3.0,0.0,0.0,97.0,0.0,0.0,0.0,757.0,4.0,146.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,18.0,14.0,1844
53033002700,2.0,181.0,25.0,0.0,256.0,6.0,0.0,204.0,61.0,40.0,3.0,0.0,0.0,107.0,0.0,0.0,0.0,859.0,8.0,153.0,0.0,0.0,12.0,25.0,0.0,0.0,8.0,24.0,9.0,1983
53033002800,6.0,163.0,14.0,0.0,173.0,2.0,1.0,167.0,36.0,31.0,4.0,0.0,0.0,85.0,0.0,0.0,0.0,505.0,2.0,126.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,13.0,8.0,1355
53033002900,1.0,61.0,3.0,0.0,87.0,2.0,1.0,69.0,14.0,10.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,343.0,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,2.0,745
53033003000,1.0,169.0,14.0,0.0,216.0,4.0,1.0,169.0,30.0,25.0,5.0,1.0,0.0,75.0,0.0,0.0,0.0,706.0,5.0,158.0,0.0,2.0,4.0,20.0,0.0,0.0,8.0,16.0,7.0,1636
53033003100,1.0,137.0,10.0,0.0,152.0,0.0,0.0,178.0,27.0,28.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,495.0,29.0,94.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,7.0,12.0,1270
53033003200,2.0,137.0,12.0,0.0,147.0,3.0,1.0,209.0,42.0,14.0,3.0,0.0,0.0,105.0,0.0,0.0,0.0,577.0,7.0,118.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,12.0,10.0,1418
53033003300,6.0,194.0,11.0,0.0,171.0,6.0,0.0,208.0,61.0,27.0,1.0,0.0,0.0,110.0,0.0,0.0,0.0,547.0,5.0,123.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,14.0,6.0,1509
53033003400,0.0,66.0,5.0,0.0,65.0,1.0,0.0,83.0,23.0,16.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,394.0,1.0,88.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,2.0,802
53033003500,0.0,84.0,9.0,0.0,144.0,4.0,0.0,133.0,68.0,11.0,1.0,0.0,0.0,82.0,0.0,0.0,0.0,509.0,11.0,104.0,0.0,0.0,4.0,15.0,0.0,0.0,4.0,11.0,4.0,1198
53033003600,2.0,172.0,26.0,0.0,239.0,1.0,1.0,237.0,35.0,17.0,2.0,0.0,0.0,114.0,0.0,0.0,0.0,1052.0,7.0,242.0,0.0,1.0,0.0,35.0,0.0,0.0,6.0,16.0,7.0,2212
53033003800,1.0,28.0,4.0,0.0,55.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,116.0,2.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,290
53033003900,0.0,57.0,6.0,0.0,96.0,1.0,0.0,77.0,11.0,8.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,187.0,2.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,510
53033004000,0.0,89.0,7.0,0.0,119.0,2.0,0.0,93.0,10.0,10.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,297.0,8.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,6.0,4.0,723
53033004100,0.0,44.0,13.0,0.0,162.0,5.0,0.0,101.0,5.0,2.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,472.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,956
53033004200,1.0,185.0,14.0,0.0,285.0,7.0,0.0,192.0,16.0,2.0,1.0,1.0,0.0,109.0,0.0,0.0,0.0,634.0,4.0,120.0,0.0,1.0,0.0,23.0,0.0,0.0,2.0,7.0,1.0,1605
53033004301,2.0,106.0,22.0,0.0,130.0,20.0,0.0,135.0,4.0,10.0,7.0,1.0,0.0,126.0,0.0,0.0,0.0,734.0,9.0,88.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0,12.0,6.0,1444
53033004302,2.0,75.0,6.0,0.0,182.0,1.0,0.0,136.0,11.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,293.0,7.0,109.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,3.0,2.0,888
53033004400,10.0,451.0,23.0,0.0,416.0,18.0,1.0,523.0,60.0,102.0,4.0,2.0,0.0,129.0,1.0,0.0,0.0,1337.0,23.0,320.0,0.0,0.0,2.0,109.0,0.0,0.0,14.0,51.0,28.0,3624
53033004500,0.0,80.0,4.0,0.0,92.0,4.0,0.0,91.0,13.0,11.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,289.0,2.0,78.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,13.0,4.0,737
