"GEOID","REGION","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"08005080100","Denver",2016,1192,107,51,1.34,1.4
"08005080600","Denver",2016,1197,256,92,3.2,2.51
"08005004951","Denver",2016,899,149,77,2.48,2.8
"08005005552","Denver",2016,530,23,16,0.65,0.99
"08005084600","Denver",2016,855,28,16,0.49,0.61
"08005082100","Denver",2016,1495,358,164,3.58,3.58
"08005007201","Denver",2016,842,193,75,3.43,2.91
"08005085400","Denver",2016,145,2,2,0.21,0.45
"08005085600","Denver",2016,72,1,0,NA,NA
"08005006711","Denver",2016,113,0,0,0,0
"08005005612","Denver",2016,641,53,18,1.24,0.92
"08005007500","Denver",2016,302,6,6,0.3,0.65
"08005005611","Denver",2016,394,15,8,0.57,0.66
"08005005800","Denver",2016,363,9,8,0.37,0.72
"08005084000","Denver",2016,195,7,4,0.54,0.67
"08005005553","Denver",2016,665,27,15,0.61,0.74
"08005086700","Denver",2016,66,2,0,NA,NA
"08005084400","Denver",2016,255,22,14,1.29,1.79
"08005005620","Denver",2016,1026,36,13,0.52,0.41
"08005080400","Denver",2016,420,19,10,0.68,0.78
"08005081300","Denver",2016,445,53,23,1.78,1.69
"08005082300","Denver",2016,644,66,29,1.53,1.47
"08005081900","Denver",2016,1367,111,80,1.21,1.91
"08005082700","Denver",2016,224,22,7,1.47,1.02
"08005005700","Denver",2016,1391,75,35,0.81,0.82
"08005082200","Denver",2016,884,108,48,1.83,1.77
"08005081800","Denver",2016,891,147,64,2.47,2.35
"08005086200","Denver",2016,253,7,2,0.41,0.26
"08005083100","Denver",2016,866,105,48,1.81,1.81
"08005005630","Denver",2016,344,0,0,0,0
"08005081000","Denver",2016,1731,243,104,2.1,1.96
"08005080700","Denver",2016,876,75,36,1.28,1.34
"08005007301","Denver",2016,783,151,67,2.88,2.79
"08005087100","Denver",2016,1035,66,33,0.95,1.04
"08005006713","Denver",2016,798,47,20,0.88,0.82
"08005005633","Denver",2016,344,10,3,0.43,0.28
"08005006000","Denver",2016,779,31,25,0.6,1.05
"08005005635","Denver",2016,453,4,2,0.13,0.14
"08005006300","Denver",2016,349,4,2,0.17,0.19
"08005004952","Denver",2016,1362,151,63,1.66,1.51
"08005006400","Denver",2016,571,87,51,2.28,2.92
"08005006704","Denver",2016,73,1,1,NA,NA
"08005080800","Denver",2016,431,156,78,5.41,5.91
"08005007103","Denver",2016,28,0,0,NA,NA
"08005083600","Denver",2016,877,65,31,1.11,1.15
"08005083700","Denver",2016,555,11,10,0.3,0.59
"08005083400","Denver",2016,343,23,12,1,1.14
"08005005951","Denver",2016,1774,71,48,0.6,0.88
"08005006200","Denver",2016,427,7,3,0.25,0.23
"08005007704","Denver",2016,1359,366,146,4.03,3.51
"08005005624","Denver",2016,58,0,0,NA,NA
"08005085800","Denver",2016,139,1,0,0.11,0
"08005086800","Denver",2016,2056,136,53,0.99,0.84
"08005082400","Denver",2016,679,103,51,2.27,2.45
"08005082600","Denver",2016,1189,159,73,2,2
"08005081100","Denver",2016,2027,222,103,1.64,1.66
"08005005628","Denver",2016,588,22,13,0.56,0.72
"08005005622","Denver",2016,273,78,29,4.27,3.47
"08005005636","Denver",2016,31,0,0,NA,NA
"08005085300","Denver",2016,366,48,15,1.96,1.34
"08005083800","Denver",2016,308,5,3,0.24,0.32
"08005006502","Denver",2016,709,30,19,0.63,0.88
"08005084200","Denver",2016,384,25,12,0.97,1.02
"08005085100","Denver",2016,166,3,2,0.27,0.39
"08005007703","Denver",2016,909,136,74,2.24,2.66
"08005006856","Denver",2016,2220,186,77,1.25,1.13
"08005081700","Denver",2016,57,0,0,NA,NA
"08005005623","Denver",2016,157,1,1,0.1,0.21
"08005081200","Denver",2016,1026,84,41,1.22,1.3
"08005084700","Denver",2016,370,17,8,0.69,0.71
"08005084800","Denver",2016,159,11,2,1.03,0.41
"08005080000","Denver",2016,804,183,88,3.4,3.57
"08005085500","Denver",2016,192,7,2,0.55,0.34
"08005007101","Denver",2016,463,5,5,0.16,0.35
"08005005551","Denver",2016,697,24,20,0.51,0.94
"08005084100","Denver",2016,483,48,18,1.49,1.22
"08005006100","Denver",2016,713,33,23,0.69,1.05
"08005006709","Denver",2016,285,5,3,0.26,0.34
"08005083500","Denver",2016,859,282,151,4.91,5.74
"08005005614","Denver",2016,197,2,0,0.15,0
"08005086400","Denver",2016,39,0,0,NA,NA
"08005005619","Denver",2016,337,17,10,0.75,0.97
"08005082900","Denver",2016,378,18,8,0.71,0.69
"08005080900","Denver",2016,322,18,7,0.84,0.71
"08005085200","Denver",2016,50,1,1,NA,NA
"08005006705","Denver",2016,48,0,0,NA,NA
"08005086900","Denver",2016,1135,154,45,2.03,1.29
"08005083900","Denver",2016,796,14,9,0.26,0.37
"08005006501","Denver",2016,1008,35,10,0.52,0.32
"08005007107","Denver",2016,699,99,28,2.12,1.31
"08005087300","Denver",2016,2751,363,126,1.97,1.5
"08005007702","Denver",2016,716,187,94,3.91,4.29
"08005083200","Denver",2016,375,33,8,1.32,0.7
"08005084900","Denver",2016,47,4,3,NA,NA
"08005081400","Denver",2016,433,22,5,0.76,0.38
