GEOID,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN,MOVE_IN_RATE,MOVE_OUT_RATE,MOVE_WITHIN_RATE
06019000100,high,16,1,1,0,0.0625,0.0625,0
06019000100,low,121,15,11,1,0.0909090909090909,0.12396694214876,0.00826446280991736
06019000100,middle,65,5,15,0,0.230769230769231,0.0769230769230769,0
06019000100,very_low,2822,224,267,30,0.0946137491141035,0.0793763288447909,0.0106307583274274
06019000200,high,99,10,11,1,0.111111111111111,0.101010101010101,0.0101010101010101
06019000200,low,906,54,59,18,0.065121412803532,0.0596026490066225,0.0198675496688742
06019000200,middle,380,32,32,8,0.0842105263157895,0.0842105263157895,0.0210526315789474
06019000200,very_low,4285,226,207,41,0.0483080513418903,0.0527421236872812,0.00956826137689615
06019000300,high,140,9,20,3,0.142857142857143,0.0642857142857143,0.0214285714285714
06019000300,low,1248,102,89,12,0.0713141025641026,0.0817307692307692,0.00961538461538462
06019000300,middle,536,38,56,9,0.104477611940299,0.0708955223880597,0.0167910447761194
06019000300,very_low,4005,209,237,32,0.0591760299625468,0.0521847690387016,0.00799001248439451
06019000400,high,472,34,39,8,0.0826271186440678,0.0720338983050848,0.0169491525423729
06019000400,low,1732,133,132,19,0.0762124711316397,0.0767898383371825,0.0109699769053118
06019000400,middle,1060,79,74,12,0.069811320754717,0.0745283018867925,0.0113207547169811
06019000400,very_low,3763,275,225,47,0.0597927185756046,0.0730799893701834,0.0124900345469041
06019000501,high,82,1,7,2,0.0853658536585366,0.0121951219512195,0.024390243902439
06019000501,low,1397,104,75,35,0.0536864710093057,0.0744452397995705,0.0250536864710093
06019000501,middle,287,30,22,2,0.0766550522648084,0.104529616724739,0.00696864111498258
06019000501,very_low,3531,269,219,80,0.0620220900594732,0.0761823845935996,0.0226564712546021
06019000502,high,548,41,56,5,0.102189781021898,0.0748175182481752,0.00912408759124087
06019000502,low,1267,91,90,12,0.0710339384372534,0.0718232044198895,0.00947119179163378
06019000502,middle,858,75,63,9,0.0734265734265734,0.0874125874125874,0.0104895104895105
06019000502,very_low,3719,307,214,38,0.0575423500941113,0.0825490723312718,0.0102178004840011
06019000600,high,191,18,14,2,0.0732984293193717,0.0942408376963351,0.0104712041884817
06019000600,low,2512,182,135,29,0.0537420382165605,0.0724522292993631,0.0115445859872611
06019000600,middle,668,37,41,7,0.061377245508982,0.0553892215568862,0.0104790419161677
06019000600,very_low,11767,849,687,166,0.058383615195037,0.0721509305685391,0.0141072490864281
06019000700,high,297,20,32,3,0.107744107744108,0.0673400673400673,0.0101010101010101
06019000700,low,1390,111,102,16,0.0733812949640288,0.0798561151079137,0.0115107913669065
06019000700,middle,683,55,63,6,0.0922401171303075,0.0805270863836018,0.00878477306002928
06019000700,very_low,3505,235,224,30,0.0639087018544936,0.0670470756062768,0.00855920114122682
06019000800,high,123,9,12,2,0.0975609756097561,0.0731707317073171,0.016260162601626
06019000800,low,304,28,26,3,0.0855263157894737,0.0921052631578947,0.00986842105263158
06019000800,middle,158,11,15,1,0.0949367088607595,0.069620253164557,0.00632911392405063
06019000800,very_low,793,46,84,11,0.105926860025221,0.0580075662042875,0.0138713745271122
06019000901,high,179,7,13,1,0.0726256983240224,0.0391061452513967,0.00558659217877095
06019000901,low,784,59,68,3,0.086734693877551,0.0752551020408163,0.0038265306122449
06019000901,middle,518,33,56,6,0.108108108108108,0.0637065637065637,0.0115830115830116
06019000901,very_low,2251,187,172,17,0.0764104842292315,0.0830741892492226,0.0075521990226566
06019000902,high,93,8,9,0,0.0967741935483871,0.0860215053763441,0
06019000902,low,1670,81,79,19,0.0473053892215569,0.0485029940119761,0.011377245508982
06019000902,middle,514,28,41,3,0.0797665369649805,0.0544747081712062,0.00583657587548638
06019000902,very_low,6245,325,298,56,0.0477181745396317,0.0520416333066453,0.00896717373899119
06019001000,high,159,12,12,1,0.0754716981132076,0.0754716981132076,0.00628930817610063
06019001000,low,914,70,83,19,0.0908096280087527,0.0765864332603939,0.0207877461706783
06019001000,middle,458,33,53,13,0.115720524017467,0.0720524017467249,0.0283842794759825
06019001000,very_low,3720,271,246,37,0.0661290322580645,0.0728494623655914,0.00994623655913979
06019001100,high,133,3,11,2,0.0827067669172932,0.0225563909774436,0.0150375939849624
06019001100,low,887,49,66,7,0.0744081172491545,0.0552423900789177,0.00789177001127396
06019001100,middle,414,22,37,5,0.0893719806763285,0.0531400966183575,0.0120772946859903
06019001100,very_low,3029,173,150,28,0.0495212941564873,0.057114559260482,0.00924397490921096
06019001201,high,643,25,50,8,0.0777604976671851,0.0388802488335925,0.0124416796267496
06019001201,low,1504,95,90,36,0.0598404255319149,0.0631648936170213,0.023936170212766
06019001201,middle,987,59,92,18,0.0932117527862209,0.0597771023302938,0.0182370820668693
06019001201,very_low,4058,240,254,60,0.0625924100542139,0.059142434696895,0.0147856086742238
06019001202,high,623,45,59,8,0.0947030497592295,0.07223113964687,0.0128410914927769
06019001202,low,1599,119,147,19,0.0919324577861163,0.0744215134459037,0.0118824265165729
06019001202,middle,1035,98,88,18,0.085024154589372,0.0946859903381643,0.0173913043478261
06019001202,very_low,2430,188,208,20,0.08559670781893,0.0773662551440329,0.00823045267489712
06019001301,high,341,23,29,6,0.0850439882697947,0.0674486803519062,0.0175953079178886
06019001301,low,1448,93,87,13,0.0600828729281768,0.0642265193370166,0.00897790055248619
06019001301,middle,824,74,63,8,0.0764563106796117,0.0898058252427185,0.00970873786407767
06019001301,very_low,4099,280,215,29,0.0524518175164674,0.0683093437423762,0.00707489631617468
06019001303,high,157,14,18,5,0.114649681528662,0.089171974522293,0.0318471337579618
06019001303,low,993,94,72,8,0.0725075528700906,0.094662638469285,0.0080563947633434
06019001303,middle,589,49,35,7,0.0594227504244482,0.0831918505942275,0.0118845500848896
06019001303,very_low,1580,123,117,13,0.0740506329113924,0.0778481012658228,0.00822784810126582
06019001304,high,541,45,36,5,0.066543438077634,0.0831792975970425,0.00924214417744917
06019001304,low,2045,153,116,19,0.0567237163814181,0.0748166259168704,0.00929095354523227
06019001304,middle,1175,78,61,10,0.0519148936170213,0.0663829787234042,0.00851063829787234
06019001304,very_low,4275,282,242,33,0.0566081871345029,0.0659649122807018,0.00771929824561404
06019001407,high,166,19,16,1,0.0963855421686747,0.114457831325301,0.00602409638554217
06019001407,low,1478,173,169,15,0.114343707713126,0.117050067658999,0.010148849797023
06019001407,middle,592,70,43,4,0.0726351351351351,0.118243243243243,0.00675675675675676
06019001407,very_low,7616,610,591,103,0.0775997899159664,0.0800945378151261,0.0135241596638655
06019001408,high,270,29,41,2,0.151851851851852,0.107407407407407,0.00740740740740741
06019001408,low,456,29,37,5,0.081140350877193,0.0635964912280702,0.0109649122807018
06019001408,middle,211,16,15,4,0.0710900473933649,0.0758293838862559,0.018957345971564
06019001408,very_low,5471,330,383,40,0.0700054834582343,0.0603180405775909,0.0073112776457686
06019001409,high,1479,184,205,11,0.138607167004733,0.124408384043272,0.00743745774171738
06019001409,low,117,28,25,0,0.213675213675214,0.239316239316239,0
06019001409,middle,368,51,52,1,0.141304347826087,0.138586956521739,0.00271739130434783
06019001409,very_low,163,21,21,0,0.128834355828221,0.128834355828221,0
06019001410,high,2100,148,310,38,0.147619047619048,0.0704761904761905,0.0180952380952381
06019001410,low,1426,116,145,10,0.101683029453015,0.0813464235624123,0.00701262272089762
06019001410,middle,2142,191,270,16,0.126050420168067,0.0891690009337068,0.00746965452847806
06019001410,very_low,1054,39,52,3,0.0493358633776091,0.0370018975332068,0.00284629981024668
06019001411,high,1071,109,210,10,0.196078431372549,0.101774042950514,0.00933706816059757
06019001411,low,1698,168,161,31,0.0948174322732627,0.0989399293286219,0.0182567726737338
06019001411,middle,1469,153,175,21,0.119128658951668,0.104152484683458,0.0142954390742001
06019001411,very_low,4435,358,440,67,0.0992108229988726,0.0807215332581736,0.0151071025930101
06019001412,high,1344,119,235,16,0.17485119047619,0.0885416666666667,0.0119047619047619
06019001412,low,443,43,42,3,0.0948081264108352,0.0970654627539503,0.00677200902934537
06019001412,middle,652,78,86,5,0.131901840490798,0.119631901840491,0.00766871165644172
06019001412,very_low,126,7,6,0,0.0476190476190476,0.0555555555555556,0
06019001413,high,1615,171,352,21,0.217956656346749,0.105882352941176,0.0130030959752322
06019001413,low,26,2,9,0,0.346153846153846,0.0769230769230769,0
06019001413,middle,57,2,8,0,0.140350877192982,0.0350877192982456,0
06019001413,very_low,2,0,0,0,0,0,0
06019001414,high,1947,235,322,38,0.165382639958911,0.120698510529019,0.0195172059578839
06019001414,low,251,31,33,2,0.131474103585657,0.123505976095618,0.00796812749003984
06019001414,middle,732,74,101,4,0.137978142076503,0.101092896174863,0.00546448087431694
06019001414,very_low,274,27,27,3,0.0985401459854015,0.0985401459854015,0.0109489051094891
06019001500,high,304,14,27,4,0.0888157894736842,0.0460526315789474,0.0131578947368421
06019001500,low,850,48,42,4,0.0494117647058824,0.0564705882352941,0.00470588235294118
06019001500,middle,510,41,31,6,0.0607843137254902,0.0803921568627451,0.0117647058823529
06019001500,very_low,1599,58,87,13,0.0544090056285178,0.0362726704190119,0.00813008130081301
06019001600,high,1353,69,108,26,0.0798226164079823,0.0509977827050998,0.0192165558019217
06019001600,low,1554,93,104,26,0.0669240669240669,0.0598455598455599,0.0167310167310167
06019001600,middle,1666,82,116,50,0.0696278511404562,0.0492196878751501,0.0300120048019208
06019001600,very_low,1103,63,69,18,0.0625566636446056,0.057116953762466,0.0163191296464189
06019001700,high,2796,217,265,44,0.0947782546494993,0.0776108726752504,0.0157367668097282
06019001700,low,1020,50,60,3,0.0588235294117647,0.0490196078431373,0.00294117647058824
06019001700,middle,1870,103,136,28,0.0727272727272727,0.0550802139037433,0.0149732620320856
06019001700,very_low,605,29,26,5,0.0429752066115702,0.0479338842975207,0.00826446280991736
06019001800,high,1015,67,103,30,0.101477832512315,0.0660098522167488,0.0295566502463054
06019001800,low,1704,106,100,22,0.0586854460093897,0.0622065727699531,0.0129107981220657
06019001800,middle,1365,86,90,23,0.0659340659340659,0.063003663003663,0.0168498168498169
06019001800,very_low,938,53,39,13,0.0415778251599147,0.0565031982942431,0.0138592750533049
06019001900,high,819,51,89,13,0.108669108669109,0.0622710622710623,0.0158730158730159
06019001900,low,1033,57,68,7,0.0658276863504356,0.0551790900290416,0.00677637947725073
06019001900,middle,707,38,49,7,0.0693069306930693,0.0537482319660538,0.0099009900990099
06019001900,very_low,508,33,19,4,0.0374015748031496,0.0649606299212598,0.0078740157480315
06019002000,high,333,17,27,5,0.0810810810810811,0.0510510510510511,0.015015015015015
06019002000,low,2758,208,204,17,0.0739666424945613,0.075416968817984,0.00616388687454677
06019002000,middle,1276,99,114,9,0.0893416927899687,0.0775862068965517,0.00705329153605016
06019002000,very_low,6964,454,512,30,0.0735209649626651,0.0651924181504882,0.00430786904078116
06019002100,high,1061,139,181,17,0.170593779453346,0.131008482563619,0.0160226201696513
06019002100,low,2456,301,281,31,0.114413680781759,0.122557003257329,0.0126221498371336
06019002100,middle,2008,247,259,34,0.12898406374502,0.12300796812749,0.0169322709163347
06019002100,very_low,4549,398,455,49,0.100021982853374,0.0874917564299846,0.0107715981534403
06019002200,high,1842,215,245,45,0.133007600434311,0.11672095548317,0.0244299674267101
06019002200,low,2201,280,213,32,0.0967741935483871,0.127214902317129,0.0145388459791004
06019002200,middle,1521,185,175,21,0.115055884286654,0.121630506245891,0.0138067061143984
06019002200,very_low,3341,364,324,37,0.0969769530080814,0.108949416342412,0.0110745285842562
06019002300,high,667,52,80,4,0.119940029985007,0.0779610194902549,0.00599700149925037
06019002300,low,2006,218,198,31,0.098703888334995,0.108673978065803,0.0154536390827517
06019002300,middle,1457,161,168,12,0.115305422100206,0.110501029512697,0.00823610157858614
06019002300,very_low,2918,288,274,35,0.093899931459904,0.0986977381768334,0.0119945167923235
06019002400,high,185,9,29,6,0.156756756756757,0.0486486486486487,0.0324324324324324
06019002400,low,2030,163,127,21,0.0625615763546798,0.0802955665024631,0.0103448275862069
06019002400,middle,826,69,61,6,0.0738498789346247,0.0835351089588378,0.00726392251815981
06019002400,very_low,6228,441,319,57,0.0512202954399486,0.0708092485549133,0.00915221579961464
06019002501,high,208,21,27,5,0.129807692307692,0.100961538461538,0.0240384615384615
06019002501,low,2168,188,166,19,0.0765682656826568,0.0867158671586716,0.00876383763837638
06019002501,middle,599,50,58,12,0.0968280467445743,0.0834724540901503,0.0200333889816361
06019002501,very_low,4518,336,323,26,0.0714918105356352,0.0743691899070385,0.00575475874280655
06019002502,high,215,20,13,4,0.0604651162790698,0.0930232558139535,0.0186046511627907
06019002502,low,1810,118,90,19,0.0497237569060774,0.0651933701657459,0.0104972375690608
06019002502,middle,747,46,40,6,0.0535475234270415,0.0615796519410977,0.00803212851405622
06019002502,very_low,5457,357,278,73,0.0509437419827744,0.0654205607476636,0.0133773135422393
06019002601,high,668,60,56,12,0.0838323353293413,0.0898203592814371,0.0179640718562874
06019002601,low,1532,122,79,22,0.0515665796344648,0.0796344647519582,0.0143603133159269
06019002601,middle,1172,111,97,22,0.0827645051194539,0.0947098976109215,0.0187713310580205
06019002601,very_low,4331,301,282,48,0.0651119833756638,0.0694989609789887,0.011082890787347
06019002602,high,623,65,57,13,0.0914927768860353,0.104333868378812,0.0208667736757624
06019002602,low,1216,100,102,10,0.0838815789473684,0.0822368421052632,0.00822368421052632
06019002602,middle,956,86,67,9,0.0700836820083682,0.0899581589958159,0.0094142259414226
06019002602,very_low,1334,116,92,6,0.0689655172413793,0.0869565217391304,0.00449775112443778
06019002701,high,584,43,72,8,0.123287671232877,0.0736301369863014,0.0136986301369863
06019002701,low,1185,102,115,9,0.0970464135021097,0.0860759493670886,0.00759493670886076
06019002701,middle,726,68,74,7,0.101928374655647,0.09366391184573,0.00964187327823691
06019002701,very_low,2437,195,169,16,0.069347558473533,0.0800164136233073,0.00656544932293804
06019002702,high,342,20,21,4,0.0614035087719298,0.0584795321637427,0.0116959064327485
06019002702,low,1817,118,75,23,0.0412768299394607,0.0649422124380848,0.0126582278481013
06019002702,middle,722,64,42,8,0.0581717451523546,0.0886426592797784,0.0110803324099723
06019002702,very_low,5409,367,310,71,0.0573118875947495,0.0678498798299131,0.0131262710297652
06019002800,high,437,29,27,1,0.0617848970251716,0.0663615560640732,0.0022883295194508
06019002800,low,2197,170,124,14,0.056440600819299,0.0773782430587164,0.00637232589895312
06019002800,middle,1075,88,82,16,0.0762790697674419,0.0818604651162791,0.0148837209302326
06019002800,very_low,4834,318,308,46,0.0637153496069508,0.0657840297889946,0.00951592883740174
06019002903,high,309,27,24,4,0.0776699029126214,0.087378640776699,0.0129449838187702
06019002903,low,2158,178,135,22,0.0625579240037071,0.082483781278962,0.010194624652456
06019002903,middle,1435,120,95,9,0.0662020905923345,0.083623693379791,0.00627177700348432
06019002903,very_low,4439,291,338,27,0.0761432755125028,0.0655553052489299,0.00608245100247804
06019002904,high,745,86,105,6,0.140939597315436,0.115436241610738,0.00805369127516779
06019002904,low,1070,98,110,6,0.102803738317757,0.091588785046729,0.00560747663551402
06019002904,middle,965,111,125,5,0.129533678756477,0.115025906735751,0.00518134715025907
06019002904,very_low,545,46,58,5,0.106422018348624,0.0844036697247707,0.0091743119266055
06019002905,high,434,45,55,4,0.126728110599078,0.1036866359447,0.00921658986175115
06019002905,low,1153,155,118,10,0.102341717259324,0.134431916738942,0.00867302688638335
06019002905,middle,747,104,105,4,0.140562248995984,0.139223560910308,0.00535475234270415
06019002905,very_low,2359,287,278,14,0.117846545146248,0.121661721068249,0.00593471810089021
06019002906,high,1008,83,106,10,0.10515873015873,0.0823412698412698,0.00992063492063492
06019002906,low,2501,247,220,20,0.0879648140743703,0.0987604958016793,0.00799680127948821
06019002906,middle,2153,234,215,21,0.0998606595448212,0.10868555503948,0.00975383186251742
06019002906,very_low,1820,150,187,24,0.102747252747253,0.0824175824175824,0.0131868131868132
06019003001,high,529,39,47,5,0.0888468809073724,0.0737240075614367,0.00945179584120983
06019003001,low,1560,167,167,14,0.107051282051282,0.107051282051282,0.00897435897435897
06019003001,middle,1218,111,109,8,0.0894909688013136,0.0911330049261084,0.00656814449917898
06019003001,very_low,1640,195,187,11,0.114024390243902,0.11890243902439,0.00670731707317073
06019003003,high,405,43,40,2,0.0987654320987654,0.106172839506173,0.00493827160493827
06019003003,low,2900,359,304,34,0.104827586206897,0.123793103448276,0.0117241379310345
06019003003,middle,1811,264,261,28,0.144119271120928,0.145775814467145,0.0154610712313639
06019003003,very_low,2993,334,370,35,0.123621784163047,0.111593718676913,0.0116939525559639
06019003004,high,594,65,91,3,0.153198653198653,0.109427609427609,0.00505050505050505
06019003004,low,519,43,51,2,0.0982658959537572,0.0828516377649326,0.00385356454720617
06019003004,middle,661,72,73,3,0.110438729198185,0.1089258698941,0.00453857791225416
06019003004,very_low,476,47,61,2,0.128151260504202,0.0987394957983193,0.00420168067226891
06019003102,high,1777,193,239,24,0.134496342149691,0.108610016882386,0.0135059088351154
06019003102,low,4016,494,408,61,0.101593625498008,0.12300796812749,0.0151892430278884
06019003102,middle,3397,368,385,46,0.113335295849279,0.108330880188402,0.0135413600235502
06019003102,very_low,6844,826,622,86,0.0908825248392753,0.120689655172414,0.0125657510227937
06019003103,high,1925,217,254,14,0.131948051948052,0.112727272727273,0.00727272727272727
06019003103,low,3142,409,365,36,0.116168045830681,0.130171865054106,0.011457670273711
06019003103,middle,2567,294,301,37,0.117257499026101,0.114530580444098,0.0144137125048695
06019003103,very_low,3699,526,424,39,0.114625574479589,0.142200594755339,0.0105433901054339
06019003104,high,596,41,65,2,0.109060402684564,0.0687919463087248,0.00335570469798658
06019003104,low,1904,251,219,22,0.115021008403361,0.131827731092437,0.0115546218487395
06019003104,middle,1574,133,168,17,0.106734434561626,0.0844980940279543,0.0108005082592122
06019003104,very_low,3337,595,355,38,0.106382978723404,0.178303865747678,0.0113874737788433
