GEOID,YEAR,CAT,HH,MOVE_OUT,MOVE_IN,MOVE_WITHIN
17197880419,2006-2007,very_low,3,1,0,0
17197880420,2006-2007,very_low,2,0,0,0
17197883213,2006-2007,very_low,5,0,0,0
17197883215,2006-2007,very_low,5,0,0,0
17197883214,2006-2007,very_low,106,8,0,0
17197883210,2006-2007,very_low,53,1,1,1
17197883211,2006-2007,very_low,6,0,0,0
17197882601,2006-2007,very_low,8,1,0,0
17197882602,2006-2007,very_low,187,21,10,2
17197882702,2006-2007,very_low,293,48,20,2
17197882802,2006-2007,very_low,439,39,24,0
17197881601,2006-2007,very_low,127,17,5,3
17197883516,2006-2007,very_low,1,0,0,0
17197883519,2006-2007,very_low,27,3,10,1
17197883514,2006-2007,very_low,24,0,0,0
17197883522,2006-2007,very_low,,,,
17197883515,2006-2007,very_low,24,4,2,0
17197881116,2006-2007,very_low,2,0,0,0
17197881112,2006-2007,very_low,19,1,4,1
17197881302,2006-2007,very_low,115,15,15,1
17197881011,2006-2007,very_low,16,0,3,0
17197881012,2006-2007,very_low,4,0,0,0
17197883208,2006-2007,very_low,137,29,16,2
17197881604,2006-2007,very_low,337,56,27,5
17197880903,2006-2007,very_low,363,73,46,4
17197881402,2006-2007,very_low,31,8,2,0
17197881108,2006-2007,very_low,43,3,5,0
17197881007,2006-2007,very_low,,,,
17197881010,2006-2007,very_low,,,,
17197880901,2006-2007,very_low,37,1,0,0
17197884101,2006-2007,very_low,42,3,2,0
17197884103,2006-2007,very_low,54,11,3,0
17197883209,2006-2007,very_low,,,,
17197880414,2006-2007,very_low,1,0,0,0
17197880601,2006-2007,very_low,52,4,5,0
17197880410,2006-2007,very_low,14,0,0,0
17197880415,2006-2007,very_low,10,1,0,1
17197880417,2006-2007,very_low,2,0,1,0
17197880421,2006-2007,very_low,1,0,0,0
17197880411,2006-2007,very_low,19,2,3,1
17197883304,2006-2007,very_low,1,0,0,0
17197980100,2006-2007,very_low,13,0,2,0
17197880204,2006-2007,very_low,76,19,16,2
17197881009,2006-2007,very_low,3,0,1,0
17197880602,2006-2007,very_low,232,34,18,4
17197880701,2006-2007,very_low,101,17,7,1
17197880702,2006-2007,very_low,69,8,9,2
17197883521,2006-2007,very_low,22,2,5,0
17197883517,2006-2007,very_low,122,24,10,0
17197883513,2006-2007,very_low,1,0,0,0
17197881115,2006-2007,very_low,10,4,1,0
17197880117,2006-2007,very_low,242,17,18,1
17197880303,2006-2007,very_low,,,,
17197880313,2006-2007,very_low,,,,
17197880314,2006-2007,very_low,,,,
17197881113,2006-2007,very_low,4,0,0,0
17197881111,2006-2007,very_low,44,7,6,2
17197881107,2006-2007,very_low,38,7,2,0
17197881301,2006-2007,very_low,181,21,11,3
17197880308,2006-2007,very_low,3,0,0,0
17197880121,2006-2007,very_low,1,0,0,0
17197880116,2006-2007,very_low,,,,
17197880118,2006-2007,very_low,4,0,0,0
17197880115,2006-2007,very_low,,,,
17197880120,2006-2007,very_low,1,0,1,0
17197880304,2006-2007,very_low,,,,
17197882701,2006-2007,very_low,25,7,1,0
17197882801,2006-2007,very_low,337,28,21,0
17197881603,2006-2007,very_low,473,49,50,4
17197881401,2006-2007,very_low,120,21,11,0
17197880905,2006-2007,very_low,44,3,2,0
17197880505,2006-2007,very_low,4,1,0,0
17197880408,2006-2007,very_low,,,,
17197880119,2006-2007,very_low,1,0,0,0
17197880306,2006-2007,very_low,5,1,0,0
17197883902,2006-2007,very_low,104,6,1,0
17197883206,2006-2007,very_low,204,26,25,0
17197880404,2006-2007,very_low,134,21,15,5
17197881105,2006-2007,very_low,2,0,0,0
17197883602,2006-2007,very_low,50,4,6,2
17197883603,2006-2007,very_low,319,26,27,4
17197880502,2006-2007,very_low,63,11,2,1
17197880507,2006-2007,very_low,176,28,21,3
17197880503,2006-2007,very_low,3,0,0,0
17197883216,2006-2007,very_low,2,0,0,0
17197880412,2006-2007,very_low,,,,
17197883303,2006-2007,very_low,17,3,4,0
17197883605,2006-2007,very_low,226,15,20,8
17197880114,2006-2007,very_low,8,0,2,1
17197880203,2006-2007,very_low,3,0,0,0
17197882500,2006-2007,very_low,288,34,18,5
17197882100,2006-2007,very_low,260,119,15,2
17197882000,2006-2007,very_low,460,41,36,5
17197881900,2006-2007,very_low,588,51,41,9
17197881800,2006-2007,very_low,181,24,13,4
17197881700,2006-2007,very_low,48,8,4,1
17197880310,2006-2007,very_low,1,0,0,0
17197883307,2006-2007,very_low,28,5,2,1
17197884003,2006-2007,very_low,53,8,11,6
17197880312,2006-2007,very_low,,,,
17197881500,2006-2007,very_low,81,3,6,2
17197883100,2006-2007,very_low,297,26,39,11
17197883000,2006-2007,very_low,233,7,17,3
17197882900,2006-2007,very_low,153,17,16,2
17197882400,2006-2007,very_low,255,40,22,1
17197882300,2006-2007,very_low,155,16,20,2
17197882200,2006-2007,very_low,214,26,23,5
17197881200,2006-2007,very_low,566,66,40,22
17197881006,2006-2007,very_low,,,,
17197881005,2006-2007,very_low,,,,
17197881002,2006-2007,very_low,27,4,1,0
17197881001,2006-2007,very_low,16,2,1,0
17197883505,2006-2007,very_low,20,1,3,0
17197883504,2006-2007,very_low,23,3,2,1
17197880309,2006-2007,very_low,,,,
17197880307,2006-2007,very_low,,,,
17197880305,2006-2007,very_low,,,,
17197883810,2006-2007,very_low,,,,
17197883808,2006-2007,very_low,17,0,0,0
17197883811,2006-2007,very_low,45,6,1,0
17197880113,2006-2007,very_low,,,,
17197880111,2006-2007,very_low,6,0,0,0
17197880107,2006-2007,very_low,3,1,0,0
17197880106,2006-2007,very_low,,,,
17197880202,2006-2007,very_low,41,2,3,0
17197880112,2006-2007,very_low,,,,
17197880109,2006-2007,very_low,,,,
17197883809,2006-2007,very_low,75,5,7,0
17197883606,2006-2007,very_low,6,0,0,0
17197883511,2006-2007,very_low,1,0,0,0
17197884004,2006-2007,very_low,77,9,6,0
17197883401,2006-2007,very_low,272,29,13,11
17197884005,2006-2007,very_low,4,0,0,0
17197880105,2006-2007,very_low,,,,
17197883806,2006-2007,very_low,,,,
17197883804,2006-2007,very_low,202,26,27,1
17197883803,2006-2007,very_low,455,84,47,8
17197883700,2006-2007,very_low,171,21,13,6
17197883903,2006-2007,very_low,33,7,2,0
17197883904,2006-2007,very_low,123,12,9,3
17197881109,2006-2007,very_low,161,36,15,1
17197883507,2006-2007,very_low,4,1,1,0
17197883510,2006-2007,very_low,7,1,1,0
17197883305,2006-2007,very_low,4,0,0,0
17197883306,2006-2007,very_low,30,6,6,2
17197883509,2006-2007,very_low,63,13,14,1
17197980000,2006-2007,very_low,,,,
17197884006,2006-2007,very_low,4,1,1,0
17197883402,2006-2007,very_low,105,1,4,1
17197883212,2006-2007,very_low,,,,
17197880416,2006-2007,very_low,1,0,0,0
17197880418,2006-2007,very_low,6,0,0,0
17043841325,2006-2007,very_low,1,0,0,0
17043841313,2006-2007,very_low,7,1,4,0
17043841316,2006-2007,very_low,1,0,0,0
17043841404,2006-2007,very_low,91,6,1,0
17043841314,2006-2007,very_low,5,0,0,0
17043842200,2006-2007,very_low,322,29,21,4
17043842300,2006-2007,very_low,1,0,0,0
17043842400,2006-2007,very_low,148,22,9,1
17043842500,2006-2007,very_low,29,7,5,1
17043842601,2006-2007,very_low,,,,
17043842602,2006-2007,very_low,,,,
17043841315,2006-2007,very_low,142,14,11,1
17043841318,2006-2007,very_low,,,,
17043841321,2006-2007,very_low,,,,
17043841326,2006-2007,very_low,86,10,17,0
17043841323,2006-2007,very_low,,,,
17043841327,2006-2007,very_low,1,0,0,0
17043841322,2006-2007,very_low,,,,
17043842603,2006-2007,very_low,5,1,0,0
17043842604,2006-2007,very_low,341,10,17,11
17043842605,2006-2007,very_low,35,3,6,1
17043842702,2006-2007,very_low,28,2,2,0
17043842703,2006-2007,very_low,,,,
17043842704,2006-2007,very_low,140,20,10,3
17043841114,2006-2007,very_low,3,0,0,0
17043841112,2006-2007,very_low,6,1,0,0
17043842709,2006-2007,very_low,1,0,0,0
17043841706,2006-2007,very_low,294,47,25,6
17043841210,2006-2007,very_low,298,54,23,6
17043841208,2006-2007,very_low,144,34,14,6
17043841704,2006-2007,very_low,165,12,3,0
17043841111,2006-2007,very_low,21,2,1,0
17043841113,2006-2007,very_low,115,22,9,1
17043842706,2006-2007,very_low,67,10,2,0
17043843700,2006-2007,very_low,24,2,4,0
17043843200,2006-2007,very_low,289,31,22,6
17043844602,2006-2007,very_low,2,0,0,0
17043843500,2006-2007,very_low,260,31,21,2
17043843400,2006-2007,very_low,18,1,1,0
17043841003,2006-2007,very_low,74,9,9,0
17043841004,2006-2007,very_low,175,35,20,5
17043843302,2006-2007,very_low,15,2,6,0
17043841207,2006-2007,very_low,,,,
17043840911,2006-2007,very_low,1,0,0,0
17043840908,2006-2007,very_low,138,12,11,0
17043843301,2006-2007,very_low,52,2,3,1
17043844100,2006-2007,very_low,2,0,0,0
17043843900,2006-2007,very_low,58,6,2,1
17043843800,2006-2007,very_low,265,65,24,8
17043842900,2006-2007,very_low,146,11,4,2
17043842800,2006-2007,very_low,19,1,1,0
17043844601,2006-2007,very_low,5,0,0,0
17043846702,2006-2007,very_low,103,12,8,0
17043841109,2006-2007,very_low,117,14,7,1
17043840904,2006-2007,very_low,248,44,28,5
17043840907,2006-2007,very_low,277,25,15,0
17043841110,2006-2007,very_low,106,10,7,3
17043841310,2006-2007,very_low,,,,
17043846604,2006-2007,very_low,81,6,4,3
17043846603,2006-2007,very_low,312,25,16,3
17043841901,2006-2007,very_low,1,0,0,0
17043846314,2006-2007,very_low,12,1,0,0
17043844501,2006-2007,very_low,2,0,0,0
17043842710,2006-2007,very_low,50,8,2,0
17043841308,2006-2007,very_low,,,,
17043840304,2006-2007,very_low,33,2,3,0
17043840703,2006-2007,very_low,515,63,31,5
17043840706,2006-2007,very_low,,,,
17043840705,2006-2007,very_low,47,2,4,1
17043840704,2006-2007,very_low,407,37,16,4
17043844901,2006-2007,very_low,219,25,18,4
17043844801,2006-2007,very_low,23,2,0,0
17043845509,2006-2007,very_low,7,0,1,0
17043845507,2006-2007,very_low,1,0,0,0
17043845505,2006-2007,very_low,218,40,21,2
17043845808,2006-2007,very_low,,,,
17043846310,2006-2007,very_low,491,99,51,13
17043846308,2006-2007,very_low,306,47,26,8
17043844402,2006-2007,very_low,179,29,27,3
17043844401,2006-2007,very_low,,,,
17043844301,2006-2007,very_low,176,24,20,2
17043844202,2006-2007,very_low,,,,
17043844201,2006-2007,very_low,166,22,16,3
17043843100,2006-2007,very_low,304,34,17,7
17043843000,2006-2007,very_low,23,8,1,0
17043846523,2006-2007,very_low,10,1,0,0
17043846521,2006-2007,very_low,,,,
17043846517,2006-2007,very_low,3,2,0,1
17043846511,2006-2007,very_low,,,,
17043846509,2006-2007,very_low,92,17,19,2
17043846519,2006-2007,very_low,,,,
17043846507,2006-2007,very_low,115,22,14,5
17043846504,2006-2007,very_low,335,27,18,4
17043846405,2006-2007,very_low,66,9,11,0
17043846404,2006-2007,very_low,393,54,44,6
17043844701,2006-2007,very_low,72,8,3,1
17043846206,2006-2007,very_low,87,7,9,0
17043846408,2006-2007,very_low,,,,
17043844001,2006-2007,very_low,5,0,0,0
17043842708,2006-2007,very_low,1,0,0,0
17043841703,2006-2007,very_low,1038,116,67,21
17043841606,2006-2007,very_low,2,1,0,0
17043846701,2006-2007,very_low,173,12,9,0
17043840303,2006-2007,very_low,293,20,13,3
17043841209,2006-2007,very_low,29,1,1,0
17043846201,2006-2007,very_low,114,15,5,2
17043846305,2006-2007,very_low,138,13,3,3
17043846304,2006-2007,very_low,15,5,0,0
17043846202,2006-2007,very_low,5,4,0,0
17043846207,2006-2007,very_low,1,0,3,0
17043840910,2006-2007,very_low,72,9,6,0
17043841705,2006-2007,very_low,265,24,12,3
17043840906,2006-2007,very_low,102,10,3,0
17043841324,2006-2007,very_low,,,,
17043841320,2006-2007,very_low,,,,
17043841312,2006-2007,very_low,247,39,17,1
17043846515,2006-2007,very_low,1,0,1,0
17043846205,2006-2007,very_low,,,,
17043846104,2006-2007,very_low,63,7,3,1
17043846203,2006-2007,very_low,2,0,0,0
17043846103,2006-2007,very_low,148,20,13,0
17043846102,2006-2007,very_low,287,66,29,4
17043846002,2006-2007,very_low,175,17,13,1
17043846518,2006-2007,very_low,14,6,1,0
17043846510,2006-2007,very_low,197,52,38,5
17043846522,2006-2007,very_low,17,7,0,0
17043846409,2006-2007,very_low,3,0,0,0
17043846514,2006-2007,very_low,1,0,0,0
17043846513,2006-2007,very_low,,,,
17043846524,2006-2007,very_low,,,,
17043845300,2006-2007,very_low,,,,
17043845602,2006-2007,very_low,229,29,22,2
17043845704,2006-2007,very_low,118,12,8,1
17043844702,2006-2007,very_low,39,2,15,0
17043845703,2006-2007,very_low,144,13,1,0
17043845502,2006-2007,very_low,273,51,12,2
17043846208,2006-2007,very_low,3,0,0,0
17043846209,2006-2007,very_low,3,0,0,0
17043846313,2006-2007,very_low,,,,
17043846315,2006-2007,very_low,4,1,1,0
17043846312,2006-2007,very_low,235,50,18,2
17043846105,2006-2007,very_low,4,1,3,0
17043845802,2006-2007,very_low,,,,
17043845100,2006-2007,very_low,6,1,1,1
