"COUNTY","GEOID","DESCRIPTION","REGION","YEAR","UNEMPLOYMENT","IN_LABOR_FORCE","FRONTLINE_OCC","HIGH_UNEMP_OCC","UNEMPLOYMENT_2019_RR","FRONTLINE_OCC_RR","HIGH_UNEMP_OCC_RR"
"06001","0600102","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities, California","Bay Area",2019,0.026,0.645,0.209,0.159,1.27,0.95,1.18
"06001","0600101","Alameda County (North)--Berkeley & Albany Cities, California","Bay Area",2019,0.032,0.549,0.147,0.169,1.56,0.67,1.26
"06001","0600104","Alameda County (North Central)--Oakland City (South Central), California","Bay Area",2019,0.026,0.472,0.255,0.189,1.27,1.16,1.41
"06001","0600110","Alameda County (East)--Livermore, Pleasanton & Dublin Cities, California","Bay Area",2019,0.015,0.526,0.208,0.085,0.73,0.95,0.63
"06001","0600103","Alameda County (Northeast)--Oakland (East) & Piedmont Cities, California","Bay Area",2019,0.026,0.559,0.156,0.137,1.27,0.71,1.02
"06001","0600105","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities, California","Bay Area",2019,0.022,0.565,0.244,0.156,1.08,1.11,1.16
"06001","0600107","Alameda County (Central)--Hayward City, California","Bay Area",2019,0.021,0.567,0.284,0.124,1.03,1.29,0.92
"06001","0600106","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland, California","Bay Area",2019,0.026,0.541,0.283,0.135,1.27,1.29,1.01
"06001","0600108","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities, California","Bay Area",2019,0.019,0.542,0.222,0.099,0.93,1.01,0.74
"06001","0600109","Alameda County (South Central)--Fremont City (East), California","Bay Area",2019,0.014,0.543,0.189,0.113,0.68,0.86,0.84
"06013","0601304","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town, California","Bay Area",2019,0.023,0.479,0.197,0.109,1.12,0.9,0.81
"06013","0601303","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities, California","Bay Area",2019,0.013,0.56,0.247,0.159,0.64,1.12,1.18
"06013","0601307","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities, California","Bay Area",2019,0.022,0.502,0.312,0.167,1.08,1.42,1.24
"06013","0601308","Contra Costa County (Northeast)--Antioch City, California","Bay Area",2019,0.035,0.496,0.309,0.146,1.71,1.41,1.09
"06013","0601306","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities, California","Bay Area",2019,0.015,0.549,0.229,0.129,0.73,1.04,0.96
"06013","0601302","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites, California","Bay Area",2019,0.016,0.537,0.243,0.145,0.78,1.11,1.08
"06013","0601309","Contra Costa County (East)--Brentwood & Oakley Cities, California","Bay Area",2019,0.014,0.5,0.269,0.141,0.68,1.22,1.05
"06013","0601305","Contra Costa County (South)--San Ramon City & Danville Town, California","Bay Area",2019,0.02,0.501,0.207,0.077,0.98,0.94,0.57
"06013","0601301","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities, California","Bay Area",2019,0.018,0.539,0.273,0.217,0.88,1.24,1.62
"06041","0604102","Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities, California","Bay Area",2019,0.02,0.513,0.188,0.114,0.98,0.86,0.85
"06041","0604101","Marin County (North & West)--Novato & San Rafael (North) Cities, California","Bay Area",2019,0.028,0.541,0.196,0.172,1.37,0.89,1.28
"06055","0605500","Napa County--Napa City, California","Bay Area",2019,0.019,0.523,0.281,0.187,0.93,1.28,1.39
"06075","0607503","San Francisco County (Central)--South of Market & Potrero, California","Bay Area",2019,0.03,0.676,0.168,0.107,1.47,0.76,0.8
"06075","0607507","San Francisco County (South Central)--Bayview & Hunters Point, California","Bay Area",2019,0.023,0.538,0.291,0.199,1.12,1.32,1.48
"06075","0607506","San Francisco County (South Central)--Sunset District (South), California","Bay Area",2019,0.031,0.582,0.178,0.182,1.52,0.81,1.36
"06075","0607504","San Francisco County (Central)--Inner Mission & Castro, California","Bay Area",2019,0.024,0.691,0.154,0.139,1.17,0.7,1.03
"06075","0607505","San Francisco County (Central)--Sunset District (North), California","Bay Area",2019,0.011,0.615,0.203,0.19,0.54,0.92,1.41
"06075","0607501","San Francisco County (North & West)--Richmond District, California","Bay Area",2019,0.02,0.626,0.17,0.138,0.98,0.77,1.03
"06075","0607502","San Francisco County (North & East)--North Beach & Chinatown, California","Bay Area",2019,0.025,0.669,0.113,0.101,1.22,0.51,0.75
"06081","0608104","San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities, California","Bay Area",2019,0.017,0.55,0.163,0.11,0.83,0.74,0.82
"06081","0608105","San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities, California","Bay Area",2019,0.016,0.572,0.189,0.119,0.78,0.86,0.89
"06081","0608103","San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities, California","Bay Area",2019,0.01,0.57,0.189,0.113,0.49,0.86,0.84
"06081","0608102","San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities, California","Bay Area",2019,0.014,0.616,0.222,0.149,0.68,1.01,1.11
"06081","0608106","San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town, California","Bay Area",2019,0.017,0.504,0.211,0.101,0.83,0.96,0.75
"06081","0608101","San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town, California","Bay Area",2019,0.018,0.588,0.282,0.165,0.88,1.28,1.23
"06085","0608503","Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities, California","Bay Area",2019,0.024,0.639,0.181,0.1,1.17,0.82,0.74
"06085","0608501","Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities, California","Bay Area",2019,0.012,0.526,0.156,0.084,0.59,0.71,0.63
"06085","0608512","Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley), California","Bay Area",2019,0.017,0.515,0.203,0.113,0.83,0.92,0.84
"06085","0608502","Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities, California","Bay Area",2019,0.016,0.594,0.184,0.088,0.78,0.84,0.66
"06085","0608505","Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock, California","Bay Area",2019,0.034,0.559,0.266,0.154,1.66,1.21,1.15
"06085","0608511","Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park, California","Bay Area",2019,0.011,0.518,0.214,0.117,0.54,0.97,0.87
"06085","0608510","Santa Clara County (Central)--San Jose City (Central), California","Bay Area",2019,0.021,0.543,0.212,0.132,1.03,0.96,0.98
"06085","0608504","Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities, California","Bay Area",2019,0.027,0.609,0.208,0.106,1.32,0.95,0.79
