GEOID,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,TOTAL
17031010100,2.0,205.0,621.0,117.0,0.0,16.0,528.0,2.0,88.0,109.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,41.0,175.0,0.0,0.0,0.0,0.0,29.0,0.0,203.0,0.0,0.0,17.0,82.0,5.0,3.0,428.0,43.0,2739
17031010201,2.0,174.0,466.0,114.0,0.0,13.0,317.0,0.0,70.0,103.0,1.0,2.0,0.0,7.0,2.0,1.0,1.0,68.0,73.0,0.0,1.0,0.0,1.0,31.0,0.0,148.0,0.0,0.0,9.0,69.0,16.0,0.0,416.0,17.0,2122
17031010202,0.0,214.0,426.0,53.0,0.0,13.0,196.0,0.0,196.0,155.0,0.0,3.0,0.0,11.0,0.0,2.0,6.0,63.0,98.0,0.0,0.0,0.0,0.0,10.0,0.0,86.0,2.0,0.0,11.0,103.0,14.0,2.0,1186.0,19.0,2869
17031010300,4.0,106.0,390.0,118.0,0.0,26.0,192.0,0.0,61.0,123.0,0.0,4.0,0.0,8.0,1.0,0.0,1.0,55.0,54.0,0.0,0.0,0.0,0.0,16.0,0.0,113.0,0.0,1.0,5.0,81.0,18.0,2.0,498.0,8.0,1885
17031010400,0.0,103.0,256.0,63.0,1.0,15.0,112.0,0.0,69.0,108.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,22.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,84.0,1.0,0.0,7.0,37.0,10.0,1.0,391.0,7.0,1331
17031010501,1.0,58.0,179.0,51.0,0.0,9.0,86.0,0.0,28.0,74.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,1.0,6.0,0.0,66.0,0.0,0.0,1.0,45.0,9.0,1.0,274.0,8.0,964
17031010502,0.0,32.0,105.0,40.0,0.0,7.0,60.0,0.0,14.0,48.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,51.0,0.0,0.0,4.0,29.0,7.0,0.0,196.0,4.0,645
17031010503,0.0,26.0,92.0,26.0,0.0,4.0,69.0,0.0,33.0,44.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,22.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,22.0,1.0,0.0,2.0,31.0,5.0,0.0,172.0,2.0,570
17031010600,0.0,113.0,312.0,107.0,0.0,10.0,210.0,0.0,63.0,92.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,64.0,63.0,0.0,0.0,0.0,0.0,10.0,1.0,102.0,1.0,0.0,8.0,79.0,8.0,1.0,435.0,22.0,1708
17031010701,0.0,28.0,114.0,58.0,0.0,3.0,125.0,0.0,31.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,61.0,2.0,0.0,3.0,23.0,3.0,1.0,184.0,5.0,761
17031010702,2.0,110.0,308.0,70.0,0.0,10.0,137.0,0.0,34.0,91.0,0.0,2.0,0.0,6.0,0.0,1.0,2.0,45.0,42.0,0.0,1.0,0.0,0.0,11.0,0.0,71.0,44.0,0.0,10.0,64.0,7.0,2.0,254.0,12.0,1336
17031020100,0.0,67.0,213.0,54.0,0.0,5.0,168.0,2.0,34.0,75.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,28.0,0.0,1.0,0.0,1.0,9.0,0.0,91.0,0.0,0.0,3.0,34.0,11.0,1.0,323.0,1.0,1170
17031020200,3.0,57.0,142.0,103.0,0.0,6.0,159.0,0.0,56.0,115.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,60.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,81.0,2.0,0.0,2.0,25.0,7.0,0.0,321.0,10.0,1181
17031020301,0.0,20.0,51.0,49.0,0.0,2.0,86.0,0.0,23.0,47.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,28.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,35.0,1.0,0.0,1.0,10.0,5.0,1.0,147.0,3.0,523
17031020302,1.0,75.0,179.0,98.0,0.0,5.0,149.0,1.0,22.0,87.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,38.0,12.0,0.0,0.0,0.0,1.0,17.0,0.0,92.0,0.0,0.0,3.0,20.0,7.0,1.0,266.0,6.0,1086
17031020400,0.0,43.0,153.0,78.0,0.0,5.0,169.0,0.0,20.0,88.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,31.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,54.0,1.0,0.0,1.0,37.0,4.0,0.0,240.0,8.0,970
17031020500,4.0,141.0,369.0,81.0,0.0,10.0,198.0,0.0,41.0,98.0,1.0,5.0,0.0,6.0,2.0,2.0,4.0,63.0,87.0,0.0,0.0,0.0,1.0,21.0,0.0,123.0,0.0,1.0,12.0,75.0,7.0,1.0,327.0,15.0,1695
17031020601,1.0,68.0,203.0,96.0,0.0,3.0,179.0,0.0,27.0,87.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,68.0,31.0,0.0,0.0,0.0,0.0,6.0,0.0,90.0,0.0,0.0,7.0,48.0,5.0,1.0,270.0,8.0,1204
17031020602,2.0,54.0,201.0,94.0,0.0,3.0,141.0,0.0,18.0,83.0,0.0,2.0,0.0,3.0,2.0,1.0,4.0,65.0,24.0,0.0,0.0,0.0,2.0,15.0,0.0,63.0,0.0,0.0,4.0,53.0,8.0,1.0,269.0,4.0,1116
17031020701,0.0,63.0,145.0,52.0,0.0,6.0,82.0,0.0,20.0,60.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,18.0,42.0,0.0,0.0,0.0,0.0,3.0,0.0,52.0,2.0,0.0,16.0,23.0,4.0,1.0,175.0,10.0,786
17031020702,0.0,102.0,292.0,134.0,0.0,6.0,237.0,0.0,38.0,119.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,67.0,41.0,0.0,0.0,0.0,0.0,13.0,0.0,114.0,0.0,0.0,16.0,32.0,7.0,1.0,378.0,13.0,1618
17031020801,1.0,76.0,191.0,86.0,0.0,6.0,173.0,0.0,24.0,96.0,0.0,2.0,0.0,2.0,1.0,2.0,4.0,72.0,42.0,0.0,0.0,0.0,2.0,9.0,0.0,86.0,0.0,0.0,4.0,32.0,3.0,1.0,217.0,17.0,1149
17031020802,0.0,117.0,349.0,142.0,2.0,8.0,243.0,1.0,42.0,99.0,2.0,3.0,0.0,9.0,0.0,3.0,3.0,104.0,94.0,0.0,0.0,0.0,0.0,19.0,0.0,116.0,0.0,0.0,7.0,77.0,11.0,0.0,333.0,20.0,1804
17031020901,2.0,118.0,280.0,62.0,0.0,6.0,197.0,0.0,36.0,80.0,0.0,2.0,0.0,4.0,1.0,2.0,3.0,83.0,50.0,0.0,0.0,0.0,0.0,15.0,0.0,115.0,1.0,0.0,11.0,67.0,7.0,0.0,333.0,16.0,1491
17031020902,1.0,50.0,141.0,30.0,0.0,3.0,108.0,0.0,12.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,38.0,27.0,0.0,0.0,0.0,0.0,9.0,0.0,61.0,0.0,0.0,2.0,33.0,4.0,2.0,169.0,11.0,747
17031030101,0.0,37.0,151.0,20.0,0.0,7.0,52.0,0.0,22.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,55.0,0.0,0.0,2.0,10.0,7.0,0.0,132.0,5.0,594
17031030102,1.0,36.0,125.0,23.0,0.0,8.0,64.0,0.0,9.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,53.0,0.0,0.0,0.0,14.0,0.0,0.0,200.0,4.0,626
17031030103,0.0,21.0,63.0,25.0,0.0,0.0,32.0,0.0,13.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,3.0,19.0,2.0,0.0,112.0,2.0,350
17031030104,0.0,18.0,53.0,7.0,0.0,3.0,27.0,0.0,19.0,47.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,7.0,3.0,1.0,78.0,1.0,318
17031030200,0.0,90.0,193.0,98.0,0.0,9.0,154.0,0.0,41.0,113.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,81.0,20.0,0.0,0.0,0.0,0.0,9.0,0.0,57.0,0.0,0.0,6.0,55.0,4.0,0.0,456.0,7.0,1398
17031030300,0.0,34.0,78.0,36.0,0.0,5.0,64.0,0.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,23.0,0.0,0.0,2.0,14.0,2.0,0.0,114.0,2.0,474
17031030400,0.0,34.0,87.0,24.0,0.0,2.0,63.0,0.0,16.0,61.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,0.0,0.0,1.0,11.0,2.0,0.0,113.0,2.0,486
17031030500,2.0,104.0,287.0,74.0,0.0,9.0,179.0,0.0,43.0,110.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,62.0,62.0,0.0,0.0,0.0,1.0,8.0,0.0,82.0,0.0,0.0,10.0,44.0,6.0,0.0,375.0,7.0,1468
