GEOID,BAD CHECKS,BRIBERY,DRIVING UNDER THE INFLUENCE,DRUNKENNESS,EXTORTION,KIDNAPPING,LOITERING,PORNOGRAPHY/OBSCENE MAT,RUNAWAY,SECONDARY CODES,TREA,TRESPASS,CIVIL SIDEWALKS,DRUG OFFENSE,FIRE REPORT,HOMICIDE,HUMAN TRAFFICKING,JUVENILE OFFENSES,LOST PROPERTY,MALICIOUS MISCHIEF,MOTOR VEHICLE THEFT,OFFENCES AGAINST THE FAMILY AND CHILDREN,TRAFFIC COLLISION,TRAFFIC VIOLATION ARREST,VEHICLE IMPOUNDED,VEHICLE MISPLACED,WEAPONS OFFENSE,ARSON,ASSAULT,BURGLARY,DISORDERLY CONDUCT,DRUG/NARCOTIC,EMBEZZLEMENT,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,LARCENY/THEFT,LIQUOR LAWS,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
06075010100,4.0,8.0,22.0,118.0,10.0,37.0,10.0,1.0,24.0,251.0,2.0,314.0,10.0,0.0,4.0,0.0,0.0,0.0,264.0,529.0,0.0,50.0,5.0,56.0,2.0,1.0,0.0,32.0,2473.0,1223.0,240.0,302.0,81.0,18.0,310.0,1010.0,27.0,18868.0,34.0,545.0,4644.0,2958.0,15.0,107.0,679.0,103.0,353.0,8.0,882.0,1966.0,1154.0,988.0,242.0,41014
06075010200,6.0,3.0,22.0,49.0,2.0,25.0,3.0,0.0,9.0,83.0,0.0,107.0,2.0,0.0,2.0,0.0,0.0,0.0,70.0,238.0,0.0,20.0,5.0,34.0,1.0,3.0,0.0,15.0,810.0,955.0,82.0,152.0,16.0,3.0,99.0,289.0,1.0,9378.0,12.0,175.0,1581.0,1368.0,6.0,66.0,255.0,57.0,158.0,5.0,351.0,864.0,943.0,296.0,93.0,18722
06075010300,2.0,1.0,6.0,16.0,1.0,4.0,1.0,0.0,1.0,47.0,0.0,30.0,1.0,0.0,2.0,0.0,0.0,0.0,26.0,59.0,0.0,17.0,1.0,13.0,0.0,0.0,0.0,10.0,330.0,398.0,29.0,44.0,5.0,3.0,59.0,112.0,1.0,2205.0,2.0,95.0,661.0,577.0,1.0,38.0,131.0,26.0,50.0,7.0,195.0,400.0,625.0,119.0,27.0,6383
06075010400,2.0,3.0,9.0,27.0,3.0,13.0,4.0,1.0,1.0,73.0,0.0,70.0,0.0,1.0,1.0,2.0,0.0,0.0,22.0,66.0,1.0,20.0,0.0,5.0,0.0,0.0,0.0,8.0,409.0,584.0,38.0,71.0,9.0,1.0,49.0,132.0,0.0,1890.0,15.0,62.0,761.0,685.0,4.0,35.0,185.0,25.0,47.0,4.0,289.0,559.0,566.0,188.0,40.0,6985
06075010500,9.0,1.0,52.0,60.0,3.0,24.0,13.0,0.0,2.0,85.0,0.0,298.0,0.0,0.0,4.0,0.0,0.0,0.0,129.0,367.0,1.0,44.0,9.0,41.0,1.0,3.0,1.0,28.0,1198.0,1125.0,117.0,181.0,50.0,10.0,170.0,584.0,3.0,10632.0,8.0,224.0,2492.0,2428.0,6.0,94.0,372.0,69.0,218.0,17.0,595.0,1083.0,802.0,660.0,99.0,24441
06075010600,3.0,2.0,59.0,404.0,5.0,31.0,8.0,0.0,4.0,146.0,0.0,102.0,0.0,0.0,3.0,0.0,0.0,0.0,105.0,111.0,0.0,40.0,3.0,24.0,0.0,1.0,0.0,18.0,1994.0,500.0,212.0,375.0,15.0,5.0,126.0,327.0,2.0,2630.0,86.0,176.0,1830.0,2318.0,9.0,49.0,309.0,79.0,83.0,7.0,618.0,597.0,516.0,743.0,222.0,14905
06075010700,9.0,3.0,70.0,136.0,13.0,34.0,6.0,0.0,9.0,167.0,0.0,74.0,0.0,1.0,1.0,0.0,0.0,0.0,267.0,125.0,0.0,46.0,11.0,38.0,0.0,2.0,0.0,26.0,1501.0,369.0,148.0,185.0,39.0,3.0,145.0,660.0,3.0,2787.0,27.0,490.0,3550.0,2451.0,6.0,46.0,379.0,70.0,48.0,8.0,621.0,789.0,464.0,531.0,129.0,16723
06075010800,4.0,0.0,4.0,6.0,3.0,5.0,1.0,0.0,4.0,28.0,0.0,26.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,56.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,8.0,236.0,380.0,23.0,84.0,5.0,2.0,36.0,96.0,0.0,950.0,3.0,93.0,462.0,468.0,3.0,51.0,107.0,16.0,21.0,3.0,166.0,299.0,655.0,94.0,27.0,4456
06075010900,3.0,2.0,13.0,23.0,2.0,9.0,1.0,0.0,2.0,61.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,67.0,0.0,10.0,6.0,8.0,0.0,0.0,0.0,20.0,498.0,731.0,35.0,134.0,10.0,1.0,87.0,232.0,1.0,2308.0,6.0,94.0,848.0,899.0,71.0,38.0,147.0,34.0,47.0,8.0,238.0,385.0,681.0,177.0,35.0,8069
06075011000,7.0,1.0,16.0,32.0,6.0,15.0,3.0,0.0,3.0,52.0,0.0,57.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,91.0,0.0,10.0,3.0,10.0,0.0,0.0,0.0,13.0,502.0,684.0,39.0,146.0,4.0,2.0,97.0,192.0,0.0,2046.0,14.0,103.0,780.0,787.0,60.0,55.0,192.0,43.0,44.0,2.0,273.0,421.0,612.0,242.0,54.0,7761
