GEOID,ANIMAL CRUELTY,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,DRUNKENNESS,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,HUMAN TRAFFICKING,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
53033000100,1.0,18.0,1760.0,119.0,0.0,1036.0,82.0,3.0,847.0,122.0,227.0,0.0,24.0,11.0,0.0,522.0,0.0,0.0,0.0,0.0,2914.0,33.0,555.0,0.0,1.0,8.0,213.0,0.0,0.0,62.0,430.0,90.0,9078
53033000200,0.0,14.0,740.0,57.0,0.0,753.0,17.0,0.0,506.0,87.0,77.0,0.0,6.0,3.0,0.0,468.0,0.0,0.0,0.0,0.0,1621.0,6.0,346.0,0.0,3.0,2.0,64.0,0.0,0.0,16.0,115.0,27.0,4928
53033000300,0.0,2.0,381.0,33.0,0.0,398.0,19.0,0.0,279.0,46.0,66.0,0.0,8.0,1.0,0.0,201.0,0.0,0.0,0.0,0.0,967.0,2.0,231.0,0.0,1.0,141.0,35.0,0.0,0.0,12.0,53.0,28.0,2904
53033000401,0.0,9.0,1006.0,39.0,0.0,918.0,26.0,1.0,535.0,70.0,58.0,0.0,3.0,2.0,0.0,346.0,0.0,0.0,0.0,0.0,1571.0,8.0,474.0,0.0,3.0,14.0,74.0,0.0,0.0,11.0,100.0,24.0,5292
53033000402,0.0,4.0,395.0,37.0,1.0,532.0,19.0,1.0,360.0,73.0,39.0,0.0,3.0,3.0,0.0,294.0,0.0,0.0,0.0,0.0,1216.0,2.0,279.0,0.0,1.0,13.0,47.0,0.0,0.0,12.0,60.0,28.0,3419
53033000500,0.0,1.0,83.0,20.0,0.0,285.0,4.0,0.0,108.0,10.0,12.0,0.0,1.0,2.0,0.0,216.0,0.0,0.0,0.0,0.0,709.0,3.0,70.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,18.0,8.0,1566
53033000600,0.0,19.0,1997.0,91.0,0.0,1200.0,125.0,7.0,1106.0,261.0,486.0,0.0,48.0,7.0,0.0,739.0,0.0,0.0,0.0,0.0,5012.0,27.0,644.0,0.0,3.0,1068.0,378.0,0.0,0.0,123.0,587.0,148.0,14076
53033000700,0.0,2.0,746.0,47.0,0.0,651.0,83.0,1.0,536.0,100.0,109.0,0.0,14.0,5.0,0.0,358.0,0.0,0.0,0.0,0.0,1647.0,14.0,366.0,0.0,1.0,1.0,100.0,0.0,0.0,38.0,239.0,42.0,5100
53033000800,0.0,5.0,195.0,19.0,0.0,305.0,9.0,0.0,204.0,21.0,13.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,648.0,2.0,60.0,0.0,1.0,1.0,26.0,0.0,0.0,2.0,19.0,8.0,1712
53033000900,0.0,0.0,72.0,12.0,0.0,193.0,1.0,0.0,71.0,15.0,3.0,0.0,1.0,2.0,0.0,152.0,0.0,0.0,0.0,0.0,366.0,1.0,49.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,10.0,7.0,960
53033001000,0.0,4.0,297.0,19.0,0.0,246.0,11.0,0.0,192.0,31.0,21.0,0.0,1.0,1.0,0.0,142.0,0.0,0.0,0.0,0.0,483.0,5.0,54.0,0.0,0.0,5.0,25.0,0.0,0.0,7.0,35.0,13.0,1592
53033001100,0.0,6.0,202.0,19.0,0.0,406.0,7.0,0.0,149.0,48.0,23.0,0.0,7.0,2.0,0.0,168.0,0.0,0.0,0.0,0.0,480.0,6.0,103.0,0.0,0.0,17.0,20.0,0.0,0.0,4.0,39.0,7.0,1713
53033001200,0.0,15.0,1645.0,152.0,0.0,1116.0,176.0,2.0,959.0,153.0,261.0,0.0,128.0,6.0,0.0,974.0,0.0,0.0,0.0,0.0,8600.0,18.0,1205.0,0.0,3.0,47.0,556.0,0.0,0.0,100.0,542.0,84.0,16742
53033001300,0.0,20.0,1222.0,75.0,1.0,598.0,77.0,0.0,661.0,187.0,346.0,1.0,18.0,9.0,0.0,457.0,0.0,0.0,0.0,0.0,2226.0,24.0,470.0,0.0,5.0,401.0,183.0,0.0,0.0,96.0,285.0,74.0,7436
53033001400,0.0,7.0,544.0,142.0,0.0,672.0,117.0,3.0,521.0,161.0,48.0,0.0,8.0,1.0,0.0,312.0,0.0,0.0,0.0,0.0,1561.0,14.0,324.0,0.0,0.0,2.0,66.0,0.0,0.0,22.0,133.0,26.0,4684
53033001500,0.0,2.0,88.0,16.0,0.0,152.0,5.0,0.0,92.0,15.0,5.0,0.0,0.0,2.0,0.0,163.0,0.0,0.0,0.0,0.0,363.0,1.0,60.0,0.0,0.0,1.0,9.0,0.0,0.0,3.0,10.0,1.0,988
53033001600,0.0,8.0,421.0,31.0,0.0,412.0,23.0,1.0,412.0,80.0,47.0,0.0,12.0,3.0,0.0,271.0,0.0,0.0,0.0,0.0,1073.0,13.0,148.0,0.0,0.0,4.0,93.0,0.0,0.0,12.0,59.0,18.0,3141
