CENSUS TRACT,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
Census Tract 1,9.0,710.0,49.0,0.0,379.0,38.0,1.0,311.0,50.0,98.0,10.0,1.0,0.0,160.0,0.0,0.0,0.0,1251.0,22.0,142.0,0.0,0.0,5.0,78.0,0.0,0.0,15.0,54.0,35.0,3418
Census Tract 10,3.0,107.0,11.0,0.0,100.0,2.0,0.0,71.0,13.0,15.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,237.0,4.0,20.0,0.0,0.0,4.0,9.0,0.0,0.0,3.0,11.0,6.0,660
Census Tract 100.01,11.0,344.0,10.0,0.0,245.0,3.0,0.0,209.0,45.0,36.0,1.0,1.0,0.0,67.0,0.0,0.0,0.0,446.0,2.0,180.0,0.0,0.0,1.0,84.0,0.0,0.0,8.0,16.0,19.0,1728
Census Tract 100.02,0.0,200.0,9.0,0.0,211.0,3.0,0.0,189.0,43.0,36.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,471.0,1.0,203.0,0.0,1.0,2.0,63.0,0.0,0.0,5.0,14.0,14.0,1526
Census Tract 101,9.0,560.0,37.0,0.0,530.0,25.0,0.0,359.0,36.0,89.0,7.0,0.0,0.0,171.0,0.0,0.0,0.0,1171.0,12.0,242.0,0.0,0.0,11.0,85.0,0.0,0.0,14.0,81.0,25.0,3464
Census Tract 102,4.0,187.0,21.0,0.0,419.0,6.0,0.0,156.0,13.0,23.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,713.0,1.0,136.0,0.0,0.0,2.0,32.0,0.0,0.0,3.0,18.0,11.0,1859
Census Tract 103,8.0,593.0,33.0,0.0,446.0,14.0,4.0,345.0,28.0,125.0,4.0,0.0,0.0,122.0,0.0,0.0,0.0,906.0,14.0,241.0,0.0,1.0,18.0,166.0,0.0,0.0,16.0,43.0,58.0,3185
Census Tract 104.01,1.0,293.0,15.0,0.0,299.0,7.0,0.0,178.0,28.0,25.0,2.0,1.0,0.0,58.0,1.0,0.0,0.0,357.0,9.0,126.0,0.0,0.0,1.0,106.0,0.0,0.0,11.0,26.0,28.0,1572
Census Tract 104.02,1.0,286.0,19.0,0.0,317.0,5.0,0.0,154.0,41.0,43.0,2.0,0.0,0.0,86.0,0.0,0.0,0.0,461.0,4.0,158.0,0.0,0.0,0.0,65.0,0.0,0.0,12.0,13.0,24.0,1691
Census Tract 105,2.0,335.0,31.0,0.0,339.0,26.0,0.0,287.0,56.0,33.0,6.0,0.0,0.0,162.0,0.0,0.0,0.0,1069.0,7.0,190.0,0.0,4.0,3.0,71.0,0.0,0.0,11.0,37.0,12.0,2681
Census Tract 106,0.0,205.0,26.0,0.0,281.0,6.0,0.0,211.0,36.0,19.0,2.0,0.0,0.0,160.0,0.0,0.0,0.0,692.0,0.0,168.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,11.0,3.0,1840
Census Tract 107.01,1.0,341.0,16.0,0.0,164.0,9.0,1.0,158.0,18.0,22.0,0.0,1.0,0.0,85.0,0.0,0.0,0.0,334.0,3.0,109.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,10.0,14.0,1310
Census Tract 107.02,1.0,373.0,12.0,0.0,149.0,1.0,0.0,222.0,23.0,14.0,1.0,1.0,0.0,86.0,0.0,0.0,0.0,346.0,4.0,98.0,0.0,1.0,0.0,43.0,0.0,0.0,2.0,26.0,13.0,1416
Census Tract 108,7.0,444.0,23.0,0.0,305.0,17.0,1.0,245.0,53.0,40.0,1.0,1.0,0.0,118.0,0.0,0.0,0.0,551.0,3.0,155.0,0.0,2.0,2.0,47.0,0.0,0.0,8.0,24.0,26.0,2073
Census Tract 109,6.0,376.0,52.0,0.0,352.0,29.0,1.0,348.0,105.0,115.0,19.0,2.0,0.0,88.0,0.0,0.0,0.0,740.0,14.0,189.0,0.0,0.0,16.0,55.0,0.0,0.0,19.0,29.0,30.0,2585
Census Tract 11,3.0,63.0,8.0,0.0,195.0,4.0,0.0,60.0,23.0,6.0,3.0,2.0,0.0,53.0,0.0,0.0,0.0,189.0,5.0,29.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,8.0,3.0,665
Census Tract 110.01,15.0,475.0,20.0,0.0,287.0,21.0,0.0,259.0,34.0,38.0,2.0,1.0,0.0,108.0,2.0,0.0,0.0,748.0,9.0,236.0,0.0,0.0,0.0,176.0,0.0,0.0,11.0,41.0,31.0,2514
Census Tract 110.02,4.0,211.0,19.0,0.0,253.0,0.0,0.0,160.0,26.0,32.0,2.0,1.0,0.0,62.0,0.0,0.0,0.0,257.0,3.0,144.0,0.0,0.0,1.0,47.0,0.0,0.0,5.0,8.0,15.0,1250
Census Tract 111.01,4.0,340.0,22.0,0.0,294.0,6.0,2.0,209.0,12.0,62.0,0.0,1.0,0.0,80.0,1.0,0.0,0.0,330.0,5.0,158.0,0.0,0.0,2.0,72.0,0.0,0.0,15.0,15.0,43.0,1673
Census Tract 111.02,4.0,418.0,37.0,0.0,247.0,13.0,0.0,231.0,43.0,112.0,1.0,0.0,0.0,74.0,0.0,0.0,0.0,396.0,14.0,133.0,0.0,0.0,13.0,98.0,0.0,0.0,18.0,19.0,38.0,1909
Census Tract 112,8.0,622.0,27.0,0.0,324.0,14.0,1.0,334.0,50.0,74.0,12.0,1.0,0.0,84.0,0.0,0.0,0.0,589.0,16.0,169.0,0.0,0.0,3.0,54.0,0.0,0.0,9.0,34.0,39.0,2464
Census Tract 113,6.0,541.0,20.0,0.0,417.0,14.0,1.0,369.0,48.0,46.0,3.0,2.0,0.0,129.0,0.0,0.0,0.0,737.0,3.0,275.0,0.0,1.0,7.0,60.0,0.0,0.0,13.0,28.0,31.0,2751
Census Tract 114.01,5.0,305.0,15.0,0.0,196.0,5.0,0.0,234.0,33.0,34.0,3.0,0.0,0.0,69.0,0.0,0.0,0.0,457.0,5.0,136.0,0.0,0.0,1.0,39.0,0.0,0.0,3.0,12.0,33.0,1585
Census Tract 114.02,6.0,342.0,27.0,0.0,227.0,22.0,0.0,249.0,33.0,41.0,13.0,0.0,0.0,96.0,1.0,0.0,0.0,1088.0,11.0,180.0,0.0,0.0,3.0,72.0,0.0,0.0,13.0,34.0,27.0,2485
Census Tract 115,3.0,126.0,9.0,0.0,242.0,5.0,0.0,148.0,21.0,10.0,1.0,0.0,0.0,74.0,0.0,0.0,0.0,448.0,1.0,106.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0,10.0,1226
Census Tract 116,2.0,137.0,13.0,0.0,230.0,2.0,0.0,161.0,19.0,25.0,1.0,1.0,0.0,114.0,0.0,0.0,0.0,657.0,8.0,124.0,0.0,1.0,1.0,18.0,0.0,0.0,2.0,10.0,8.0,1534
Census Tract 117,6.0,305.0,18.0,0.0,455.0,7.0,0.0,192.0,39.0,37.0,5.0,1.0,0.0,81.0,0.0,0.0,0.0,389.0,5.0,158.0,0.0,0.0,0.0,73.0,0.0,0.0,8.0,14.0,27.0,1820
Census Tract 118,3.0,1074.0,50.0,1.0,624.0,25.0,1.0,544.0,75.0,187.0,9.0,1.0,0.0,173.0,2.0,0.0,0.0,1541.0,31.0,374.0,0.0,0.0,4.0,301.0,0.0,0.0,25.0,109.0,131.0,5285
Census Tract 119,5.0,423.0,29.0,0.0,628.0,4.0,0.0,310.0,52.0,40.0,1.0,1.0,0.0,117.0,0.0,0.0,0.0,649.0,0.0,238.0,0.0,0.0,1.0,45.0,0.0,0.0,7.0,15.0,39.0,2604
Census Tract 12,6.0,556.0,81.0,0.0,391.0,68.0,0.0,368.0,47.0,95.0,53.0,0.0,0.0,336.0,0.0,0.0,0.0,3208.0,9.0,433.0,0.0,2.0,33.0,200.0,0.0,0.0,26.0,64.0,24.0,6000
Census Tract 120,1.0,130.0,5.0,0.0,187.0,1.0,0.0,80.0,9.0,7.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,313.0,1.0,56.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,9.0,4.0,869
Census Tract 121,1.0,37.0,4.0,0.0,98.0,2.0,0.0,35.0,2.0,2.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,171.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,416
Census Tract 13,11.0,440.0,46.0,0.0,212.0,17.0,0.0,221.0,61.0,78.0,10.0,2.0,0.0,150.0,0.0,0.0,0.0,660.0,10.0,151.0,0.0,0.0,142.0,44.0,0.0,0.0,24.0,40.0,27.0,2346
Census Tract 14,3.0,206.0,96.0,0.0,254.0,51.0,2.0,219.0,68.0,16.0,3.0,0.0,0.0,88.0,0.0,0.0,0.0,627.0,5.0,129.0,0.0,0.0,1.0,24.0,0.0,0.0,7.0,20.0,10.0,1829
Census Tract 15,0.0,38.0,11.0,0.0,71.0,1.0,0.0,38.0,3.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,153.0,1.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,370
Census Tract 16,4.0,169.0,16.0,0.0,178.0,6.0,1.0,187.0,44.0,26.0,4.0,0.0,0.0,63.0,0.0,0.0,0.0,403.0,7.0,70.0,0.0,0.0,1.0,33.0,0.0,0.0,6.0,16.0,7.0,1241
Census Tract 17.01,12.0,320.0,26.0,0.0,267.0,11.0,0.0,253.0,47.0,44.0,6.0,0.0,0.0,116.0,0.0,0.0,0.0,992.0,15.0,157.0,0.0,0.0,3.0,65.0,0.0,0.0,7.0,37.0,16.0,2394
Census Tract 17.02,3.0,200.0,15.0,0.0,147.0,3.0,0.0,139.0,30.0,36.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,369.0,6.0,91.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,20.0,11.0,1143
Census Tract 18,4.0,340.0,16.0,0.0,215.0,8.0,0.0,196.0,54.0,71.0,5.0,0.0,0.0,77.0,0.0,0.0,0.0,518.0,10.0,142.0,0.0,1.0,79.0,45.0,0.0,0.0,10.0,42.0,28.0,1861
