"GEOID","Region","Year","Renters","Eviction_Filings","Evictions","Eviction_Filings_RR","Evictions_RR"
"08001007801","Denver",2016,1158,67,39,0.88,1.09
"08001007802","Denver",2016,1152,102,67,1.35,1.89
"08001007900","Denver",2016,1452,194,122,2.04,2.72
"08001008000","Denver",2016,842,35,18,0.63,0.69
"08001008100","Denver",2016,644,39,19,0.92,0.96
"08001008200","Denver",2016,456,18,13,0.6,0.92
"08001008308","Denver",2016,935,62,25,1.01,0.87
"08001008309","Denver",2016,392,38,22,1.48,1.82
"08001008353","Denver",2016,605,64,29,1.61,1.55
"08001008401","Denver",2016,378,5,4,0.2,0.34
"08001008402","Denver",2016,404,2,2,0.08,0.16
"08001008505","Denver",2016,543,8,3,0.22,0.18
"08001008506","Denver",2016,2067,426,161,3.14,2.53
"08001008507","Denver",2016,396,8,7,0.31,0.57
"08001008508","Denver",2016,637,54,22,1.29,1.12
"08001008523","Denver",2016,535,31,8,0.88,0.48
"08001008524","Denver",2016,257,8,4,0.47,0.5
"08001008526","Denver",2016,521,60,28,1.76,1.74
"08001008529","Denver",2016,2357,354,122,2.29,1.68
"08001008533","Denver",2016,1774,191,85,1.64,1.55
"08001008534","Denver",2016,207,8,4,0.59,0.63
"08001008535","Denver",2016,425,18,10,0.65,0.76
"08001008536","Denver",2016,114,8,4,1.07,1.14
"08001008537","Denver",2016,227,3,3,0.2,0.43
"08001008538","Denver",2016,298,11,6,0.56,0.65
"08001008539","Denver",2016,526,18,9,0.52,0.55
"08001008540","Denver",2016,196,5,5,0.39,0.83
"08001008541","Denver",2016,93,1,0,NA,NA
"08001008542","Denver",2016,379,25,7,1.01,0.6
"08001008543","Denver",2016,695,29,6,0.64,0.28
"08001008544","Denver",2016,161,6,3,0.57,0.6
"08001008545","Denver",2016,222,2,1,0.14,0.15
"08001008546","Denver",2016,243,4,4,0.25,0.53
"08001008547","Denver",2016,414,9,1,0.33,0.08
"08001008548","Denver",2016,126,0,0,0,0
"08001008549","Denver",2016,254,16,9,0.96,1.15
"08001008550","Denver",2016,409,10,5,0.37,0.4
"08001008551","Denver",2016,42,0,0,NA,NA
"08001008603","Denver",2016,399,39,21,1.49,1.71
"08001008604","Denver",2016,452,3,3,0.1,0.22
"08001008605","Denver",2016,460,101,51,3.35,3.59
"08001008606","Denver",2016,1229,83,34,1.03,0.9
"08001008705","Denver",2016,731,47,28,0.98,1.24
"08001008706","Denver",2016,905,41,23,0.69,0.82
"08001008709","Denver",2016,1653,48,23,0.44,0.45
"08001008801","Denver",2016,616,18,11,0.45,0.58
"08001008802","Denver",2016,500,53,20,1.62,1.3
"08001008901","Denver",2016,315,18,13,0.87,1.34
"08001009001","Denver",2016,648,47,31,1.11,1.55
"08001009002","Denver",2016,1349,111,75,1.25,1.8
"08001009101","Denver",2016,380,13,7,0.52,0.6
"08001009103","Denver",2016,222,39,17,2.68,2.48
"08001009104","Denver",2016,552,39,18,1.08,1.06
"08001009202","Denver",2016,610,84,27,2.1,1.43
"08001009203","Denver",2016,1466,397,176,4.13,3.89
"08001009204","Denver",2016,1342,105,38,1.19,0.92
"08001009206","Denver",2016,147,1,0,0.1,0
"08001009207","Denver",2016,844,51,30,0.92,1.15
"08001009304","Denver",2016,811,95,36,1.79,1.44
"08001009306","Denver",2016,268,11,5,0.63,0.6
"08001009307","Denver",2016,582,33,20,0.86,1.11
"08001009308","Denver",2016,648,94,39,2.21,1.95
"08001009309","Denver",2016,747,34,17,0.69,0.74
"08001009310","Denver",2016,867,101,60,1.78,2.24
"08001009316","Denver",2016,571,73,26,1.95,1.48
"08001009318","Denver",2016,1382,214,111,2.36,2.6
"08001009319","Denver",2016,431,100,59,3.54,4.44
"08001009320","Denver",2016,871,127,66,2.22,2.46
"08001009321","Denver",2016,783,82,41,1.6,1.7
"08001009322","Denver",2016,540,27,9,0.76,0.54
"08001009323","Denver",2016,973,100,56,1.57,1.87
"08001009325","Denver",2016,1238,111,44,1.37,1.15
"08001009326","Denver",2016,376,30,14,1.22,1.21
"08001009327","Denver",2016,440,173,87,5.99,6.41
"08001009401","Denver",2016,498,18,9,0.55,0.59
