"GEOID","POPULATION","AGE_75","CANCER","CHD","COPD","DIABETES","KIDNEY","SMOKING","OBESITY","ASTHMA","BPHIGH","STROKE"
"01073000100",3336,4.4,5.3,7.8,11.3,17.4,4.3,27.9,46.4,13.4,47.7,5.5
"01073000300",1933,3.8,4.7,8.6,11.9,19.8,4.6,29.3,47.8,12.5,48.2,6.1
"01073000400",3411,3.3,5.3,7.5,10.5,18.4,4.2,25.9,45.7,13.3,49.1,5.6
"01073000500",2977,5.6,6,9.6,12.3,22.4,5.3,26.3,48,13.6,54.1,7.3
"01073000700",2744,5.2,5.9,11.4,14.8,25,6.4,30.9,52.7,14.7,56.5,9
"01073000800",3097,10.7,6.9,10.6,12.7,24.1,5.6,25.1,48.2,13.4,57.3,7.9
"01073001100",4897,6.8,6.5,7.3,8.4,18,4.2,18.4,42.3,12.4,50,5.3
"01073001200",2619,10.5,6.5,8.6,9.8,20.2,4.7,21.1,44.4,12,52.2,6.3
"01073001400",1906,10.5,7,9,9.5,20.4,4.8,19.4,43.1,11.9,53,6.5
"01073001500",2726,4.3,5.6,9.2,11.7,21.3,4.9,27,48,13.2,52.9,6.8
"01073001600",3208,11.7,6.7,10.1,12.6,21.8,5.3,25.7,45.8,13.7,53.7,7.3
"01073001902",1953,4.6,5.2,8.7,12.1,20.5,4.8,28.6,48.6,13.8,51.5,6.5
"01073002000",4215,1.9,6,9,13,20.2,5,28.1,48.1,13.9,51.3,6.5
"01073002100",2422,7.5,5.6,7.3,10.4,16.5,4.1,25,44.5,13.1,46.9,5.1
"01073002200",2579,4.5,5.3,7.1,9.8,17.9,4.1,24.7,45.1,13.1,48.8,5.3
"01073002303",3520,4.1,5,8.2,11.9,19.8,4.8,29.2,49.4,14.3,50.2,6.4
"01073002305",3073,1.9,5.1,4,5.4,8.1,2.3,16.1,31.5,10.1,30.5,2.3
"01073002306",3784,5.9,7.2,5.4,5.8,8.7,2.6,13.4,28,9.1,33.1,2.7
"01073002400",4028,4.5,5,7.3,10.2,16.1,4.1,26.1,44.4,12.6,44.1,5.1
"01073002700",3564,6.6,4.7,7.2,9.5,15.6,3.8,25.9,42.9,11.4,43.8,4.9
"01073002900",1960,10.1,6.3,10.1,12.3,23.4,5.5,25.5,48.7,13.5,56.2,7.6
"01073003001",3698,7.9,4.5,6.1,8.1,13.8,3.5,20.4,36.3,12.5,37.5,4.3
"01073003002",2616,5.8,6.8,11,13.6,24.8,6.1,25.5,49.2,13.9,57.6,8.5
"01073003100",4053,3.4,5.4,8.4,11,20.4,4.7,26,48.3,13.3,51.9,6.3
"01073003200",1250,3.1,6,11.1,14.3,24.9,6.2,29.6,52.4,14.4,57,8.7
"01073003300",969,4.4,6.8,9.7,10.8,21.9,5.1,22.6,46.3,12.9,55.2,7
"01073003400",2112,4.3,5.5,8.9,12.1,21.4,5,28.1,49.8,13.8,53.1,6.7
"01073003500",2030,4.9,5.4,6.5,8.4,15.6,3.7,21.5,42.7,12.6,45.5,4.6
