"GEOID","Region"
"06001441925","Bay Area"
"06001440200","Bay Area"
"06001438400","Bay Area"
"06001423300","Bay Area"
"06001423400","Bay Area"
"06001433600","Bay Area"
"06001423200","Bay Area"
"06001421800","Bay Area"
"06001438300","Bay Area"
"06001423100","Bay Area"
"06001437800","Bay Area"
"06001438100","Bay Area"
"06001440100","Bay Area"
"06001438203","Bay Area"
"06001420600","Bay Area"
"06001423500","Bay Area"
"06001401700","Bay Area"
"06001436800","Bay Area"
"06001407900","Bay Area"
"06001435200","Bay Area"
"06001423000","Bay Area"
"06001435104","Bay Area"
"06001438000","Bay Area"
"06001437900","Bay Area"
"06001437702","Bay Area"
"06001401800","Bay Area"
"06001451703","Bay Area"
"06001438204","Bay Area"
"06001441923","Bay Area"
"06001423700","Bay Area"
"06001435103","Bay Area"
"06001407600","Bay Area"
"06001450200","Bay Area"
"06001422600","Bay Area"
"06001982000","Bay Area"
"06001438201","Bay Area"
"06001435500","Bay Area"
"06001440301","Bay Area"
"06001451704","Bay Area"
"06001409100","Bay Area"
"06001436402","Bay Area"
"06001420200","Bay Area"
"06001421700","Bay Area"
"06001421500","Bay Area"
"06001421600","Bay Area"
"06001423901","Bay Area"
"06001450300","Bay Area"
"06001408400","Bay Area"
"06001981900","Bay Area"
"06001422800","Bay Area"
"06001437701","Bay Area"
"06001435602","Bay Area"
"06001420100","Bay Area"
"06001427200","Bay Area"
"06001433500","Bay Area"
"06001444601","Bay Area"
"06001441924","Bay Area"
"06001435102","Bay Area"
"06001434000","Bay Area"
"06001407500","Bay Area"
"06001422500","Bay Area"
"06001422900","Bay Area"
"06001408100","Bay Area"
"06001407700","Bay Area"
"06001451602","Bay Area"
"06001437600","Bay Area"
"06001408800","Bay Area"
"06001408900","Bay Area"
"06001409200","Bay Area"
"06001441100","Bay Area"
"06001423800","Bay Area"
"06001441302","Bay Area"
"06001440336","Bay Area"
"06001407101","Bay Area"
"06001408000","Bay Area"
"06001441401","Bay Area"
"06001400400","Bay Area"
"06001435300","Bay Area"
"06001983200","Bay Area"
"06001436601","Bay Area"
"06001451202","Bay Area"
"06001436500","Bay Area"
"06001420300","Bay Area"
"06001421100","Bay Area"
"06001421200","Bay Area"
"06001421400","Bay Area"
"06001422400","Bay Area"
"06001422100","Bay Area"
"06001437500","Bay Area"
"06001422700","Bay Area"
"06001451601","Bay Area"
"06001436700","Bay Area"
"06001441800","Bay Area"
"06001433400","Bay Area"
"06001441921","Bay Area"
"06001427300","Bay Area"
"06001444602","Bay Area"
"06001433700","Bay Area"
"06001433900","Bay Area"
"06001407800","Bay Area"
"06001407102","Bay Area"
"06001407000","Bay Area"
"06001430700","Bay Area"
"06001430300","Bay Area"
"06001441700","Bay Area"
"06001435400","Bay Area"
"06001435601","Bay Area"
"06001423601","Bay Area"
"06001423602","Bay Area"
"06001409300","Bay Area"
"06001441301","Bay Area"
"06001409800","Bay Area"
"06001409600","Bay Area"
"06001435900","Bay Area"
"06001424001","Bay Area"
"06001423902","Bay Area"
"06001400100","Bay Area"
"06001430400","Bay Area"
"06001436602","Bay Area"
"06001436401","Bay Area"
"06001410400","Bay Area"
"06001451300","Bay Area"
"06001451403","Bay Area"
"06001451404","Bay Area"
"06001420400","Bay Area"
"06001421300","Bay Area"
"06001422300","Bay Area"
"06001422000","Bay Area"
"06001422200","Bay Area"
"06001451701","Bay Area"
"06001441602","Bay Area"
"06001427100","Bay Area"
"06001441524","Bay Area"
"06001401300","Bay Area"
"06001401400","Bay Area"
"06001444302","Bay Area"
"06001427600","Bay Area"
"06001427700","Bay Area"
"06001433800","Bay Area"
"06001450102","Bay Area"
"06001407400","Bay Area"
"06001407300","Bay Area"
"06001407200","Bay Area"
"06001441926","Bay Area"
"06001450400","Bay Area"
"06001408200","Bay Area"
"06001408300","Bay Area"
"06001408600","Bay Area"
"06001450601","Bay Area"
"06001409000","Bay Area"
"06001440334","Bay Area"
"06001441200","Bay Area"
"06001440335","Bay Area"
"06001440331","Bay Area"
"06001450604","Bay Area"
"06001450605","Bay Area"
"06001409900","Bay Area"
"06001410500","Bay Area"
"06001425101","Bay Area"
"06001424002","Bay Area"
"06001425102","Bay Area"
"06001451102","Bay Area"
"06001451401","Bay Area"
"06001450752","Bay Area"
"06001450746","Bay Area"
"06001420500","Bay Area"
"06001437102","Bay Area"
"06001421900","Bay Area"
"06001437400","Bay Area"
"06001451506","Bay Area"
"06001441523","Bay Area"
"06001426200","Bay Area"
"06001441522","Bay Area"
"06001433300","Bay Area"
"06001444301","Bay Area"
"06001406400","Bay Area"
"06001444500","Bay Area"
"06001406601","Bay Area"
"06001406602","Bay Area"
"06001428100","Bay Area"
"06001450101","Bay Area"
"06001428200","Bay Area"
"06001427900","Bay Area"
"06001431200","Bay Area"
"06001430200","Bay Area"
"06001430101","Bay Area"
"06001428700","Bay Area"
"06001408700","Bay Area"
"06001450502","Bay Area"
"06001440304","Bay Area"
"06001435700","Bay Area"
"06001440332","Bay Area"
"06001409700","Bay Area"
"06001409500","Bay Area"
"06001450603","Bay Area"
"06001404501","Bay Area"
"06001451505","Bay Area"
"06001400300","Bay Area"
"06001400200","Bay Area"
"06001410100","Bay Area"
"06001410300","Bay Area"
"06001436300","Bay Area"
"06001451201","Bay Area"
"06001450751","Bay Area"
"06001425103","Bay Area"
"06001451501","Bay Area"
"06001437101","Bay Area"
"06001436900","Bay Area"
"06001437300","Bay Area"
"06001431100","Bay Area"
"06001401100","Bay Area"
"06001433104","Bay Area"
"06001433200","Bay Area"
"06001406201","Bay Area"
"06001401200","Bay Area"
"06001406202","Bay Area"
"06001406500","Bay Area"
"06001401500","Bay Area"
"06001401600","Bay Area"
"06001406700","Bay Area"
"06001427800","Bay Area"
"06001406900","Bay Area"
"06001437200","Bay Area"
"06001404300","Bay Area"
"06001441927","Bay Area"
"06001430102","Bay Area"
"06001428600","Bay Area"
"06001430800","Bay Area"
"06001408500","Bay Area"
"06001450501","Bay Area"
"06001440305","Bay Area"
"06001440306","Bay Area"
"06001440307","Bay Area"
"06001440333","Bay Area"
"06001440308","Bay Area"
"06001402200","Bay Area"
"06001451504","Bay Area"
"06001450606","Bay Area"
"06001410000","Bay Area"
"06001432501","Bay Area"
"06001400500","Bay Area"
"06001400600","Bay Area"
"06001450750","Bay Area"
"06001450745","Bay Area"
"06001450744","Bay Area"
"06001425104","Bay Area"
"06001441501","Bay Area"
"06001441503","Bay Area"
"06001442602","Bay Area"
"06001403800","Bay Area"
"06001433103","Bay Area"
"06001443322","Bay Area"
"06001441521","Bay Area"
"06001405901","Bay Area"
"06001444200","Bay Area"
"06001405402","Bay Area"
"06001406300","Bay Area"
"06001444400","Bay Area"
"06001450602","Bay Area"
"06001435800","Bay Area"
"06001406800","Bay Area"
"06001400800","Bay Area"
"06001451503","Bay Area"
"06001404101","Bay Area"
"06001428000","Bay Area"
"06001430600","Bay Area"
"06001428500","Bay Area"
"06001403501","Bay Area"
"06001430900","Bay Area"
"06001442301","Bay Area"
"06001990000","Bay Area"
"06001432700","Bay Area"
"06001441402","Bay Area"
"06001409400","Bay Area"
"06001442400","Bay Area"
"06001442500","Bay Area"
"06001437000","Bay Area"
"06001404600","Bay Area"
"06001442700","Bay Area"
"06001450607","Bay Area"
"06001410200","Bay Area"
"06001436100","Bay Area"
"06001451101","Bay Area"
"06001450743","Bay Area"
"06001405902","Bay Area"
"06001442302","Bay Area"
"06001400700","Bay Area"
"06001443103","Bay Area"
"06001432800","Bay Area"
"06001441601","Bay Area"
"06001433102","Bay Area"
"06001443321","Bay Area"
"06001444100","Bay Area"
"06001405800","Bay Area"
"06001406100","Bay Area"
"06001403300","Bay Area"
"06001406000","Bay Area"
"06001442200","Bay Area"
"06001404900","Bay Area"
"06001431000","Bay Area"
"06001403701","Bay Area"
"06001405200","Bay Area"
"06001403702","Bay Area"
"06001442601","Bay Area"
"06001404102","Bay Area"
"06001428301","Bay Area"
"06001428400","Bay Area"
"06001442100","Bay Area"
"06001436200","Bay Area"
"06001430500","Bay Area"
"06001432600","Bay Area"
"06001403502","Bay Area"
"06001443002","Bay Area"
"06001432400","Bay Area"
"06001404400","Bay Area"
"06001405301","Bay Area"
"06001426100","Bay Area"
"06001443105","Bay Area"
"06001450742","Bay Area"
"06001432100","Bay Area"
"06001436000","Bay Area"
"06001405600","Bay Area"
"06001401000","Bay Area"
"06001403100","Bay Area"
"06001405000","Bay Area"
"06001403600","Bay Area"
"06001442000","Bay Area"
"06001405401","Bay Area"
"06001443301","Bay Area"
"06001400900","Bay Area"
"06001402700","Bay Area"
"06001403400","Bay Area"
"06001450741","Bay Area"
"06001402500","Bay Area"
"06001404700","Bay Area"
"06001443200","Bay Area"
"06001403900","Bay Area"
"06001402800","Bay Area"
"06001443001","Bay Area"
"06001432300","Bay Area"
"06001432502","Bay Area"
"06001402400","Bay Area"
"06001404000","Bay Area"
"06001405100","Bay Area"
"06001404200","Bay Area"
"06001403000","Bay Area"
"06001450701","Bay Area"
"06001405700","Bay Area"
"06001402600","Bay Area"
"06001443102","Bay Area"
"06001433000","Bay Area"
"06001402900","Bay Area"
"06001432200","Bay Area"
"06001405500","Bay Area"
"06001428302","Bay Area"
"06001405302","Bay Area"
"06001443104","Bay Area"
"06001442900","Bay Area"
"06001404800","Bay Area"
"06001404502","Bay Area"
"06001442800","Bay Area"
"06013371000","Bay Area"
"06013302009","Bay Area"
"06013321200","Bay Area"
"06013352201","Bay Area"
"06013351101","Bay Area"
"06013324001","Bay Area"
"06013352202","Bay Area"
"06013370000","Bay Area"
"06013350000","Bay Area"
"06013302010","Bay Area"
"06013372000","Bay Area"
"06013323000","Bay Area"
"06013302008","Bay Area"
"06013331000","Bay Area"
"06013352101","Bay Area"
"06013382000","Bay Area"
"06013320004","Bay Area"
"06013330000","Bay Area"
"06013352102","Bay Area"
"06013321103","Bay Area"
"06013351102","Bay Area"
"06013359202","Bay Area"
"06013336202","Bay Area"
"06013328000","Bay Area"
"06013322000","Bay Area"
"06013307102","Bay Area"
"06013373000","Bay Area"
"06013369002","Bay Area"
"06013365002","Bay Area"
"06013321102","Bay Area"
"06013337200","Bay Area"
"06013327000","Bay Area"
"06013313101","Bay Area"
"06013384000","Bay Area"
"06013351200","Bay Area"
"06013302007","Bay Area"
"06013302006","Bay Area"
"06013332000","Bay Area"
"06013303103","Bay Area"
"06013321101","Bay Area"
"06013369001","Bay Area"
