City,Metro,Date,All Beds,1 Beds,2 Beds
San Francisco,Bay Area,1/1/2011,"2,451","2,176","2,611"
San Francisco,Bay Area,2/1/2011,"2,563","2,201","2,768"
San Francisco,Bay Area,3/1/2011,"2,535","2,216","2,714"
San Francisco,Bay Area,4/1/2011,"2,519","2,197","2,759"
San Francisco,Bay Area,5/1/2011,"2,594","2,112","2,923"
San Francisco,Bay Area,6/1/2011,"2,534","2,044","2,856"
San Francisco,Bay Area,7/1/2011,"2,426","2,014","2,811"
San Francisco,Bay Area,8/1/2011,"2,563","2,328","3,125"
San Francisco,Bay Area,9/1/2011,"2,840","2,593","3,575"
San Francisco,Bay Area,10/1/2011,"3,055","2,709","3,880"
San Francisco,Bay Area,11/1/2011,"3,174","2,840","3,915"
San Francisco,Bay Area,12/1/2011,"3,066","2,745","3,784"
San Francisco,Bay Area,1/1/2012,"3,103","2,789","3,793"
San Francisco,Bay Area,2/1/2012,"3,098","2,874","3,738"
San Francisco,Bay Area,3/1/2012,"2,777","2,649","3,281"
San Francisco,Bay Area,4/1/2012,"3,109","2,835","3,792"
San Francisco,Bay Area,5/1/2012,"3,010","2,872","3,661"
San Francisco,Bay Area,6/1/2012,"2,940","2,716","3,685"
San Francisco,Bay Area,7/1/2012,"3,074","2,819","3,666"
San Francisco,Bay Area,8/1/2012,"3,141","2,881","3,642"
San Francisco,Bay Area,9/1/2012,"3,112","2,818","3,602"
San Francisco,Bay Area,10/1/2012,"3,094","2,816","3,641"
San Francisco,Bay Area,11/1/2012,"3,047","2,735","3,593"
San Francisco,Bay Area,12/1/2012,"2,898","2,661","3,394"
San Francisco,Bay Area,1/1/2013,"2,978","2,676","3,621"
San Francisco,Bay Area,2/1/2013,"2,934","2,723","3,585"
San Francisco,Bay Area,3/1/2013,"3,159","2,878","3,937"
San Francisco,Bay Area,4/1/2013,"3,178","2,955","3,967"
San Francisco,Bay Area,5/1/2013,"3,264","2,957","4,071"
San Francisco,Bay Area,6/1/2013,"3,429","3,222","4,265"
San Francisco,Bay Area,7/1/2013,"3,407","3,081","4,226"
San Francisco,Bay Area,8/1/2013,"3,415","2,900","4,152"
San Francisco,Bay Area,9/1/2013,"3,356","2,903","4,085"
San Francisco,Bay Area,10/1/2013,"3,398","3,000","4,197"
San Francisco,Bay Area,11/1/2013,"3,384","2,936","4,191"
San Francisco,Bay Area,12/1/2013,"3,431","2,944","4,099"
San Francisco,Bay Area,1/1/2014,"3,358","2,957","3,983"
San Francisco,Bay Area,2/1/2014,"3,407","3,045","4,045"
San Francisco,Bay Area,3/1/2014,"3,378","2,996","4,024"
San Francisco,Bay Area,4/1/2014,"3,362","3,027","4,106"
San Francisco,Bay Area,5/1/2014,"3,399","3,090","4,298"
San Francisco,Bay Area,6/1/2014,"3,418","3,134","4,287"
San Francisco,Bay Area,7/1/2014,"3,524","3,180","4,338"
San Francisco,Bay Area,8/1/2014,"3,532","3,183","4,345"
San Francisco,Bay Area,9/1/2014,"3,485","3,164","4,324"
San Francisco,Bay Area,10/1/2014,"3,458","3,207","4,307"
San Francisco,Bay Area,11/1/2014,"3,553","3,218","4,456"
San Francisco,Bay Area,12/1/2014,"3,577","3,232","4,442"
San Francisco,Bay Area,1/1/2015,"3,582","3,285","4,567"
San Francisco,Bay Area,2/1/2015,"3,464","3,246","4,504"
San Francisco,Bay Area,3/1/2015,"3,691","3,343","4,537"
San Francisco,Bay Area,4/1/2015,"3,652","3,348","4,377"
San Francisco,Bay Area,5/1/2015,"3,697","3,370","4,419"
San Francisco,Bay Area,6/1/2015,"3,847","3,411","4,566"
San Francisco,Bay Area,7/1/2015,"3,829","3,448","4,687"
San Francisco,Bay Area,8/1/2015,"3,815","3,491","4,720"
San Francisco,Bay Area,9/1/2015,"3,769","3,483","4,663"
San Francisco,Bay Area,10/1/2015,"3,852","3,449","4,650"
San Francisco,Bay Area,11/1/2015,"3,798","3,425","4,568"
San Francisco,Bay Area,12/1/2015,"3,754","3,410","4,544"
San Francisco,Bay Area,1/1/2016,"3,772","3,451","4,556"
San Francisco,Bay Area,2/1/2016,"3,814","3,448","4,610"
San Francisco,Bay Area,3/1/2016,"3,842","3,434","4,646"
San Francisco,Bay Area,4/1/2016,"4,040","3,544","4,840"
San Francisco,Bay Area,5/1/2016,"4,003","3,540","4,790"
San Francisco,Bay Area,6/1/2016,"3,907","3,490","4,754"
San Francisco,Bay Area,7/1/2016,"3,907","3,448","4,756"
San Francisco,Bay Area,8/1/2016,"3,866","3,367","4,683"
San Francisco,Bay Area,9/1/2016,"3,825","3,382","4,621"
San Francisco,Bay Area,10/1/2016,"3,799","3,373","4,576"
San Francisco,Bay Area,11/1/2016,"3,716","3,336","4,469"
San Francisco,Bay Area,12/1/2016,"3,768","3,357","4,487"
San Francisco,Bay Area,1/1/2017,"3,871","3,407","4,631"
San Francisco,Bay Area,2/1/2017,"3,809","3,368","4,597"
San Francisco,Bay Area,3/1/2017,"3,728","3,364","4,535"
